molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3353011,IC50,48900.0,nM,
CHEMBL2397317,IC50,100000.0,nM,
CHEMBL3426603,IC50,100000.0,nM,
CHEMBL3426602,IC50,100000.0,nM,
CHEMBL3426601,IC50,100000.0,nM,
CHEMBL3426600,IC50,100000.0,nM,
CHEMBL3426599,IC50,100000.0,nM,
CHEMBL3426598,IC50,100000.0,nM,
CHEMBL3426597,IC50,100000.0,nM,
CHEMBL3426596,IC50,100000.0,nM,
CHEMBL3426595,IC50,100000.0,nM,
CHEMBL3426594,IC50,100000.0,nM,
CHEMBL3914714,IC50,100000.0,nM,
CHEMBL3976651,IC50,10000.0,nM,
CHEMBL4561692,IC50,10000.0,nM,
CHEMBL5220036,IC50,44200.0,nM,
CHEMBL5218823,IC50,24790.0,nM,
CHEMBL5220692,IC50,45400.0,nM,
CHEMBL5218631,IC50,40900.0,nM,
CHEMBL5218945,IC50,12200.0,nM,
CHEMBL5219275,IC50,28400.0,nM,
CHEMBL5220999,IC50,20800.0,nM,
CHEMBL3353011,IC50,37700.0,nM,
CHEMBL5220205,IC50,1460.0,nM,
CHEMBL5219070,IC50,50000.0,nM,
CHEMBL5219191,IC50,50000.0,nM,
CHEMBL428496,IC50,30000.0,nM,
