molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1435542,Kd,280.0,nM,
CHEMBL1436585,Kd,310.0,nM,
CHEMBL1474834,Kd,360.0,nM,
CHEMBL105442,Kd,10000.0,nM,
CHEMBL180022,Kd,10000.0,nM,
CHEMBL386051,Kd,230.0,nM,
CHEMBL1721885,Kd,10000.0,nM,
CHEMBL491473,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,380.0,nM,
CHEMBL450786,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
CHEMBL601719,Kd,10000.0,nM,
CHEMBL1789941,Kd,10000.0,nM,
CHEMBL573339,Kd,620.0,nM,
CHEMBL513909,Kd,110.0,nM,
CHEMBL1421,Kd,10000.0,nM,
CHEMBL1908395,Kd,10000.0,nM,
CHEMBL509032,Kd,2300.0,nM,
CHEMBL502835,Kd,10000.0,nM,
CHEMBL553,Kd,1000.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL230011,Kd,530.0,nM,
CHEMBL1173655,Kd,10000.0,nM,
CHEMBL1230609,Kd,28.0,nM,
CHEMBL1908396,Kd,10000.0,nM,
CHEMBL1230020,Kd,10000.0,nM,
CHEMBL1287853,Kd,4100.0,nM,
CHEMBL379218,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL1908397,Kd,10000.0,nM,
CHEMBL1241674,Kd,780.0,nM,
CHEMBL24828,Kd,10000.0,nM,
CHEMBL428690,Kd,870.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL572878,Kd,10000.0,nM,
CHEMBL1908391,Kd,10000.0,nM,
CHEMBL249697,Kd,10000.0,nM,
CHEMBL525191,Kd,10000.0,nM,
CHEMBL300138,Kd,10000.0,nM,
CHEMBL475251,Kd,120.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL223360,Kd,10000.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL521851,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL384304,Kd,10000.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL377300,Kd,10000.0,nM,
CHEMBL939,Kd,7500.0,nM,
CHEMBL608154,Kd,10000.0,nM,
CHEMBL1289926,Kd,10000.0,nM,
CHEMBL603469,Kd,10000.0,nM,
CHEMBL464552,Kd,10000.0,nM,
CHEMBL10,Kd,10000.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL522892,Kd,10000.0,nM,
CHEMBL1908394,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL1236107,Kd,3300.0,nM,
CHEMBL574738,Kd,10000.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL288441,Kd,10000.0,nM,
CHEMBL445813,Kd,10000.0,nM,
CHEMBL494089,Kd,10000.0,nM,
CHEMBL255863,Kd,8800.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL31965,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,280.0,nM,
CHEMBL388978,Kd,10000.0,nM,
CHEMBL2205766,IC50,1071.52,nM,
CHEMBL1371147,Kd,3550.0,nM,
CHEMBL1404898,Kd,6310.0,nM,
CHEMBL1490041,Kd,6310.0,nM,
CHEMBL1378851,Kd,12590.0,nM,
CHEMBL1526989,Kd,14120.0,nM,
CHEMBL1435847,Kd,11220.0,nM,
CHEMBL1396351,Kd,28180.0,nM,
CHEMBL1554155,Kd,,,
CHEMBL1437083,Kd,2820.0,nM,
CHEMBL1553183,Kd,39810.0,nM,
CHEMBL1436077,Kd,63090.0,nM,
CHEMBL1496788,Kd,6300.0,nM,
CHEMBL1315789,Kd,100000.0,nM,
CHEMBL1315320,Kd,44670.0,nM,
CHEMBL1592304,Kd,11220.0,nM,
CHEMBL1590625,Kd,14120.0,nM,
CHEMBL1516227,Kd,79430.0,nM,
CHEMBL1396223,Kd,3980.0,nM,
CHEMBL1486329,Kd,11220.0,nM,
CHEMBL1436204,Kd,6300.0,nM,
CHEMBL1597259,Kd,2510.0,nM,
CHEMBL1484208,Kd,12590.0,nM,
CHEMBL1593817,Kd,11220.0,nM,
CHEMBL1324313,Kd,1580.0,nM,
CHEMBL1415412,Kd,6310.0,nM,
CHEMBL1317123,Kd,3980.0,nM,
CHEMBL1397580,Kd,5620.0,nM,
CHEMBL1456711,Kd,44670.0,nM,
CHEMBL1473985,Kd,,,
CHEMBL1571036,Kd,,,
CHEMBL1378392,Kd,630.0,nM,
CHEMBL1516307,Kd,7940.0,nM,
CHEMBL1407773,Kd,100000.0,nM,
CHEMBL1473735,Kd,,,
CHEMBL1528672,Kd,100000.0,nM,
CHEMBL1328990,Kd,2820.0,nM,
CHEMBL1475514,Kd,7940.0,nM,
CHEMBL1394653,Kd,5620.0,nM,
CHEMBL1476017,Kd,2820.0,nM,
CHEMBL1593156,Kd,63090.0,nM,
CHEMBL1325058,Kd,100000.0,nM,
CHEMBL1359120,Kd,12590.0,nM,
CHEMBL1358682,Kd,1990.0,nM,
CHEMBL1319866,Kd,100000.0,nM,
CHEMBL1436389,Kd,1120.0,nM,
CHEMBL1554143,Kd,890.0,nM,
CHEMBL3729099,Kd,1000.0,nM,
CHEMBL3727398,Kd,1000.0,nM,
CHEMBL3729321,Kd,1580.0,nM,
CHEMBL3731638,Kd,1580.0,nM,
CHEMBL3729792,Kd,1780.0,nM,
CHEMBL3730832,Kd,1990.0,nM,
CHEMBL3731120,Kd,1990.0,nM,
CHEMBL3729376,Kd,2240.0,nM,
CHEMBL3731341,Kd,2820.0,nM,
CHEMBL3732764,Kd,3160.0,nM,
CHEMBL3729001,Kd,3160.0,nM,
CHEMBL3728003,Kd,3160.0,nM,
CHEMBL3729140,Kd,3160.0,nM,
CHEMBL3730934,Kd,3550.0,nM,
CHEMBL3729993,Kd,3960.0,nM,
CHEMBL3727411,Kd,5010.0,nM,
CHEMBL3732475,Kd,5010.0,nM,
CHEMBL3729186,Kd,6310.0,nM,
CHEMBL3732136,Kd,7080.0,nM,
CHEMBL3730118,Kd,7080.0,nM,
CHEMBL3729616,Kd,14120.0,nM,
CHEMBL3731056,Kd,31620.0,nM,
CHEMBL3730302,Kd,31620.0,nM,
CHEMBL3731579,Kd,39810.0,nM,
CHEMBL3728695,Kd,50120.0,nM,
CHEMBL3730668,Kd,56230.0,nM,
CHEMBL3728741,Kd,100000.0,nM,
CHEMBL3731659,Kd,7080.0,nM,
CHEMBL3730640,Kd,1580.0,nM,
CHEMBL3921246,Kd,480.0,nM,
CHEMBL2336325,Kd,30000.0,nM,
CHEMBL377300,Kd,30000.0,nM,
CHEMBL31965,Kd,30000.0,nM,
CHEMBL1976040,Kd,30000.0,nM,
CHEMBL1236107,Kd,30000.0,nM,
CHEMBL3544944,Kd,30000.0,nM,
CHEMBL2180604,Kd,30000.0,nM,
CHEMBL3545328,Kd,1595.0,nM,
CHEMBL38380,Kd,30000.0,nM,
CHEMBL2376648,Kd,30000.0,nM,
CHEMBL2103882,Kd,30000.0,nM,
CHEMBL553,Kd,30000.0,nM,
CHEMBL1078178,Kd,30000.0,nM,
CHEMBL3688339,Kd,3.0,nM,
CHEMBL1084546,Kd,30000.0,nM,
CHEMBL507361,Kd,30000.0,nM,
CHEMBL2103839,Kd,30000.0,nM,
CHEMBL223360,Kd,30000.0,nM,
CHEMBL1614707,Kd,30000.0,nM,
CHEMBL3301622,Kd,30000.0,nM,
CHEMBL462018,Kd,30000.0,nM,
CHEMBL939,Kd,30000.0,nM,
CHEMBL1614710,Kd,30000.0,nM,
CHEMBL3991929,Kd,30000.0,nM,
CHEMBL3301610,Kd,30000.0,nM,
CHEMBL608533,Kd,30000.0,nM,
CHEMBL1801204,Kd,30000.0,nM,
CHEMBL288441,Kd,30000.0,nM,
CHEMBL575448,Kd,30000.0,nM,
