molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1256459,IC50,533.0,nM,
CHEMBL1672328,IC50,9000.0,nM,
CHEMBL1684984,IC50,10000.0,nM,
CHEMBL1765602,IC50,8.58,nM,
CHEMBL1615189,Ki,31.0,nM,
CHEMBL1795875,IC50,170.0,nM,
CHEMBL1834657,IC50,10000.0,nM,
CHEMBL1914727,IC50,5.3,nM,
CHEMBL1914726,IC50,2.9,nM,
CHEMBL1738719,IC50,11.0,nM,
CHEMBL1914743,IC50,5.0,nM,
CHEMBL1922094,IC50,2000.0,nM,
CHEMBL1945559,IC50,9100.0,nM,
CHEMBL2017974,IC50,2400.0,nM,
CHEMBL2071338,IC50,9100.0,nM,
CHEMBL1986603,IC50,9100.0,nM,
CHEMBL2069328,IC50,9100.0,nM,
CHEMBL2071342,IC50,9100.0,nM,
CHEMBL2165268,IC50,9000.0,nM,
CHEMBL2165053,IC50,9000.0,nM,
CHEMBL2165017,IC50,9000.0,nM,
CHEMBL2170090,IC50,10000.0,nM,
CHEMBL2170089,IC50,10000.0,nM,
CHEMBL2170088,IC50,10000.0,nM,
CHEMBL2170087,IC50,10000.0,nM,
CHEMBL2170086,IC50,10000.0,nM,
CHEMBL2170085,IC50,10000.0,nM,
CHEMBL2170084,IC50,10000.0,nM,
CHEMBL2170083,IC50,10000.0,nM,
CHEMBL2170082,IC50,10000.0,nM,
CHEMBL2170081,IC50,10000.0,nM,
CHEMBL2170099,IC50,10000.0,nM,
CHEMBL2170098,IC50,10000.0,nM,
CHEMBL2170097,IC50,10000.0,nM,
CHEMBL2170096,IC50,10000.0,nM,
CHEMBL2170095,IC50,10000.0,nM,
CHEMBL2170094,IC50,10000.0,nM,
CHEMBL2170093,IC50,10000.0,nM,
CHEMBL2170092,IC50,10000.0,nM,
CHEMBL2170091,IC50,10000.0,nM,
CHEMBL2165017,IC50,10000.0,nM,
CHEMBL2206921,IC50,606.0,nM,
CHEMBL2206913,IC50,1288.0,nM,
CHEMBL2205766,IC50,5888.44,nM,
CHEMBL2316958,IC50,1000.0,nM,
CHEMBL2333365,IC50,3500.0,nM,
CHEMBL2387080,IC50,374.0,nM,
CHEMBL2396661,IC50,9100.0,nM,
CHEMBL2418954,IC50,1800.0,nM,
CHEMBL2418960,IC50,25000.0,nM,
CHEMBL3112866,IC50,183.0,nM,
CHEMBL3609514,IC50,9100.0,nM,
CHEMBL3609519,IC50,9600.0,nM,
CHEMBL3609521,IC50,9100.0,nM,
CHEMBL3609523,IC50,7000.0,nM,
CHEMBL3609525,IC50,9100.0,nM,
CHEMBL3609528,IC50,9100.0,nM,
CHEMBL3622372,IC50,1.2,nM,
CHEMBL3651966,IC50,9100.0,nM,
CHEMBL3780864,IC50,410.0,nM,
CHEMBL3781964,IC50,400.0,nM,
CHEMBL3780077,IC50,3400.0,nM,
CHEMBL3781076,IC50,6300.0,nM,
CHEMBL3780896,IC50,290.0,nM,
CHEMBL3781236,IC50,120.0,nM,
CHEMBL3782016,IC50,130.0,nM,
CHEMBL3780029,IC50,37.0,nM,
CHEMBL3781020,IC50,210.0,nM,
CHEMBL3781634,IC50,91.0,nM,
CHEMBL3780762,IC50,240.0,nM,
CHEMBL3781926,IC50,35.0,nM,
CHEMBL3780339,IC50,85.0,nM,
CHEMBL3781466,IC50,15.0,nM,
CHEMBL3781615,IC50,76.0,nM,
CHEMBL3781415,IC50,18.0,nM,
CHEMBL3780029,IC50,14.0,nM,
CHEMBL3781020,IC50,330.0,nM,
CHEMBL3781634,IC50,,,
CHEMBL3780762,IC50,270.0,nM,
CHEMBL3781926,IC50,,,
CHEMBL3780339,IC50,,,
CHEMBL3781466,IC50,25.0,nM,
CHEMBL3781615,IC50,,,
CHEMBL3781415,IC50,12.0,nM,
CHEMBL3781916,IC50,110.0,nM,
CHEMBL1229535,IC50,307.0,nM,
CHEMBL3787634,IC50,146.0,nM,
CHEMBL3786633,IC50,50000.0,nM,
CHEMBL3785630,IC50,50000.0,nM,
CHEMBL3786159,IC50,50000.0,nM,
CHEMBL3787013,IC50,32.0,nM,
CHEMBL3787054,IC50,245.4,nM,
CHEMBL3785694,IC50,50000.0,nM,
CHEMBL3785311,IC50,20000.0,nM,
CHEMBL3786230,IC50,20000.0,nM,
CHEMBL3787614,IC50,9100.0,nM,
CHEMBL3787112,IC50,9100.0,nM,
CHEMBL3785951,IC50,10000.0,nM,
CHEMBL3913354,IC50,2300.0,nM,
CHEMBL2216870,IC50,978000.0,nM,
CHEMBL1241857,IC50,830.0,nM,
CHEMBL3913354,IC50,2300000.0,nM,
CHEMBL1229535,IC50,320.0,nM,
CHEMBL3922359,IC50,10000.0,nM,
CHEMBL1879463,IC50,450.0,nM,
CHEMBL586702,IC50,100000.0,nM,
CHEMBL3781415,IC50,18.0,nM,
CHEMBL3913746,IC50,76.0,nM,
CHEMBL3622372,IC50,1.2,nM,
CHEMBL521851,IC50,100000.0,nM,
CHEMBL3360203,IC50,7000.0,nM,
CHEMBL2017974,IC50,2581.0,nM,
CHEMBL4084907,IC50,8486.0,nM,
CHEMBL1922094,Kd,250.0,nM,
CHEMBL521851,Kd,,,
CHEMBL2017974,Kd,200.0,nM,
CHEMBL4084907,Kd,230.0,nM,
CHEMBL4102855,Kd,130.0,nM,
CHEMBL592445,Kd,5100.0,nM,
CHEMBL4126156,IC50,7943.28,nM,
CHEMBL3643413,IC50,9100.0,nM,
CHEMBL4161766,IC50,834.0,nM,
CHEMBL4164334,IC50,405.0,nM,
CHEMBL4174988,IC50,1801.7,nM,
CHEMBL2216870,IC50,4417.0,nM,
CHEMBL521851,IC50,2837.0,nM,
CHEMBL4286698,Kd,2750.0,nM,
CHEMBL3545097,Kd,8200.0,nM,
CHEMBL4279703,Kd,8300.0,nM,
CHEMBL1241674,Kd,,,
CHEMBL3586404,Kd,2500.0,nM,
CHEMBL2336325,Kd,23000.0,nM,
CHEMBL4447963,IC50,19.0,nM,
CHEMBL3622372,IC50,27.0,nM,
CHEMBL4586628,IC50,82.0,nM,
CHEMBL3622372,IC50,1.2,nM,
CHEMBL4586628,IC50,2.0,nM,
CHEMBL4536755,IC50,3.0,nM,
CHEMBL4470174,IC50,7.0,nM,
CHEMBL4536855,IC50,7.0,nM,
CHEMBL4517404,IC50,2.0,nM,
CHEMBL3781415,IC50,0.018,nM,
CHEMBL3913746,IC50,25.0,nM,
CHEMBL2391504,IC50,740.0,nM,
CHEMBL4594206,Kd,2100.0,nM,
CHEMBL4436124,Kd,980.0,nM,
CHEMBL4551080,Kd,3200.0,nM,
CHEMBL4286698,Kd,2750.0,nM,
CHEMBL4556087,Kd,1.995,nM,
CHEMBL4579923,Kd,63.1,nM,
CHEMBL4561242,IC50,1.585,nM,
CHEMBL4449047,IC50,3.162,nM,
CHEMBL4447804,IC50,25.12,nM,
CHEMBL4466265,IC50,398.11,nM,
CHEMBL4518946,IC50,15.85,nM,
CHEMBL4436797,IC50,19.95,nM,
CHEMBL4579923,IC50,63.1,nM,
CHEMBL2216870,IC50,980.0,nM,
CHEMBL4303323,IC50,2500.0,nM,
CHEMBL3984425,IC50,40000.0,nM,
CHEMBL4634634,IC50,100000.0,nM,
CHEMBL4632827,Kd,410.0,nM,
CHEMBL1499544,IC50,25.0,nM,
CHEMBL1499544,IC50,18.0,nM,
CHEMBL4639853,IC50,40.0,nM,
CHEMBL4639853,IC50,90.0,nM,
CHEMBL4639853,IC50,19.0,nM,
CHEMBL2140173,Kd,1.7,nM,
CHEMBL4792737,Kd,5.1,nM,
CHEMBL4794132,Kd,2.0,nM,
CHEMBL4752634,Kd,4.0,nM,
CHEMBL2140173,IC50,17.0,nM,
CHEMBL4792737,IC50,29.0,nM,
CHEMBL4794132,IC50,24.0,nM,
CHEMBL4745255,IC50,14.0,nM,
CHEMBL4783168,IC50,67.0,nM,
CHEMBL4752634,IC50,41.0,nM,
CHEMBL4760480,IC50,20.0,nM,
CHEMBL3325608,IC50,9199.0,nM,
CHEMBL4752128,IC50,681.0,nM,
CHEMBL521851,IC50,,,
CHEMBL4785064,IC50,10000.0,nM,
CHEMBL4749655,IC50,10000.0,nM,
CHEMBL4787267,IC50,10000.0,nM,
CHEMBL4799530,IC50,10000.0,nM,
CHEMBL4744689,IC50,6295.0,nM,
