molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL28079,IC50,13000.0,nM,
CHEMBL513304,IC50,7600.0,nM,
CHEMBL466481,IC50,4400.0,nM,
CHEMBL466480,IC50,4200.0,nM,
CHEMBL466680,IC50,3100.0,nM,
CHEMBL513129,IC50,2050.0,nM,
CHEMBL511564,IC50,1340.0,nM,
CHEMBL466068,IC50,1130.0,nM,
CHEMBL466474,IC50,970.0,nM,
CHEMBL467282,IC50,520.0,nM,
CHEMBL512790,IC50,4.0,nM,
CHEMBL466475,IC50,10000.0,nM,
CHEMBL466280,IC50,10000.0,nM,
CHEMBL63,IC50,,,
CHEMBL578033,IC50,407.38,nM,
CHEMBL572934,IC50,2.138,nM,
CHEMBL572517,IC50,2137.96,nM,
CHEMBL566300,IC50,218.78,nM,
CHEMBL575745,IC50,562.34,nM,
CHEMBL576952,IC50,1479.11,nM,
CHEMBL575791,IC50,194.98,nM,
CHEMBL582856,IC50,1318.26,nM,
CHEMBL583064,IC50,109.65,nM,
CHEMBL565667,IC50,72.44,nM,
CHEMBL572747,IC50,977.24,nM,
CHEMBL574449,IC50,194.98,nM,
CHEMBL583914,IC50,50.12,nM,
CHEMBL575790,IC50,208.93,nM,
CHEMBL575775,IC50,269.15,nM,
CHEMBL572934,IC50,2.1,nM,
CHEMBL576952,IC50,1500.0,nM,
CHEMBL572517,IC50,2100.0,nM,
CHEMBL572747,IC50,970.0,nM,
CHEMBL575745,IC50,563.0,nM,
CHEMBL582856,IC50,1300.0,nM,
CHEMBL575775,IC50,270.0,nM,
CHEMBL574449,IC50,190.0,nM,
CHEMBL578033,IC50,400.0,nM,
CHEMBL575790,IC50,210.0,nM,
CHEMBL575791,IC50,200.0,nM,
CHEMBL583064,IC50,110.0,nM,
CHEMBL566300,IC50,220.0,nM,
CHEMBL565667,IC50,73.0,nM,
CHEMBL583914,IC50,50.0,nM,
CHEMBL551052,IC50,2000.0,nM,
CHEMBL567470,IC50,2000.0,nM,
CHEMBL591501,IC50,2000.0,nM,
CHEMBL1916475,IC50,2000.0,nM,
CHEMBL2180070,IC50,900.0,nM,
CHEMBL2180069,IC50,526.0,nM,
CHEMBL2180068,IC50,1000.0,nM,
CHEMBL2180073,IC50,1000.0,nM,
CHEMBL2180072,IC50,116.0,nM,
CHEMBL2180071,IC50,297.0,nM,
CHEMBL2179105,IC50,1394.0,nM,
CHEMBL2179104,IC50,1872.0,nM,
CHEMBL2179103,IC50,1603.0,nM,
CHEMBL2179102,IC50,979.0,nM,
CHEMBL2179101,IC50,1858.0,nM,
CHEMBL2179100,IC50,466.0,nM,
CHEMBL2179099,IC50,165.0,nM,
CHEMBL2177125,IC50,693.0,nM,
CHEMBL2179098,IC50,889.0,nM,
CHEMBL2179097,IC50,3421.0,nM,
CHEMBL2179096,IC50,431.0,nM,
CHEMBL2179095,IC50,5601.0,nM,
CHEMBL2179093,IC50,14.0,nM,
CHEMBL572934,IC50,0.4,nM,
CHEMBL2179094,IC50,1000.0,nM,
CHEMBL2001019,IC50,10000.0,nM,
