molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL128338,IC50,5.5,nM,
CHEMBL129407,IC50,5.6,nM,
CHEMBL341354,IC50,0.94,nM,
CHEMBL129689,IC50,4.8,nM,
CHEMBL128485,IC50,2.5,nM,
CHEMBL341231,IC50,0.7,nM,
CHEMBL421249,IC50,2.6,nM,
CHEMBL131672,IC50,1.1,nM,
CHEMBL128263,IC50,3.1,nM,
CHEMBL129692,IC50,1.0,nM,
CHEMBL131355,IC50,0.11,nM,
CHEMBL128783,IC50,4.8,nM,
CHEMBL341160,IC50,10.0,nM,
CHEMBL128456,IC50,0.19,nM,
CHEMBL341327,IC50,8.8,nM,
CHEMBL131111,IC50,0.13,nM,
CHEMBL131118,IC50,21.0,nM,
CHEMBL340118,IC50,6.3,nM,
CHEMBL34431,IC50,18.0,nM,
CHEMBL128621,IC50,0.3,nM,
CHEMBL338179,IC50,0.24,nM,
CHEMBL189,IC50,280.0,nM,
CHEMBL130081,IC50,0.53,nM,
CHEMBL130026,IC50,0.62,nM,
CHEMBL129691,IC50,8.5,nM,
CHEMBL129668,IC50,0.13,nM,
CHEMBL128877,IC50,3.2,nM,
CHEMBL129283,IC50,0.33,nM,
CHEMBL128017,IC50,5.0,nM,
CHEMBL273816,IC50,30.0,nM,
CHEMBL338860,IC50,0.049,nM,
CHEMBL340785,IC50,37.0,nM,
CHEMBL131939,IC50,0.61,nM,
CHEMBL128391,IC50,0.26,nM,
CHEMBL129600,IC50,4.5,nM,
CHEMBL339210,IC50,0.068,nM,
CHEMBL129255,IC50,0.7,nM,
CHEMBL128619,IC50,10.0,nM,
CHEMBL338381,IC50,0.35,nM,
CHEMBL428445,Ki,100.0,nM,
CHEMBL409484,Ki,100.0,nM,
CHEMBL408978,Ki,100.0,nM,
CHEMBL2096844,Ki,100.0,nM,
CHEMBL427777,Ki,100.0,nM,
CHEMBL262088,Ki,100.0,nM,
CHEMBL441704,Ki,471.0,nM,
CHEMBL409862,Ki,260.0,nM,
CHEMBL408977,Ki,237.0,nM,
CHEMBL219451,Ki,88.0,nM,
CHEMBL218855,Ki,280.0,nM,
CHEMBL219123,Ki,474.0,nM,
CHEMBL375200,Ki,328.0,nM,
CHEMBL387167,Ki,1890.0,nM,
CHEMBL387166,Ki,1820.0,nM,
CHEMBL219445,Ki,273.0,nM,
CHEMBL220185,Ki,196.0,nM,
CHEMBL409613,Ki,240.0,nM,
CHEMBL409651,Ki,223.0,nM,
CHEMBL263641,Ki,201.0,nM,
CHEMBL218955,Ki,305.0,nM,
CHEMBL261711,Ki,280.0,nM,
CHEMBL263642,Ki,56.0,nM,
CHEMBL410834,Ki,463.0,nM,
CHEMBL259295,Ki,685.0,nM,
CHEMBL374993,Ki,748.0,nM,
CHEMBL260006,Ki,207.0,nM,
CHEMBL385754,Ki,332.0,nM,
CHEMBL19224,Ki,417.0,nM,
CHEMBL428445,Ki,100.0,nM,
CHEMBL409651,Ki,223.0,nM,
CHEMBL261711,Ki,280.0,nM,
CHEMBL260006,Ki,207.0,nM,
CHEMBL408977,Ki,237.0,nM,
CHEMBL429686,Ki,474.0,nM,
CHEMBL408978,Ki,100.0,nM,
CHEMBL219445,Ki,273.0,nM,
CHEMBL220185,Ki,196.0,nM,
CHEMBL409613,Ki,240.0,nM,
CHEMBL263641,Ki,201.0,nM,
CHEMBL218955,Ki,305.0,nM,
CHEMBL263642,Ki,56.0,nM,
CHEMBL410834,Ki,463.0,nM,
CHEMBL259295,Ki,685.0,nM,
CHEMBL374993,Ki,748.0,nM,
CHEMBL385754,Ki,332.0,nM,
CHEMBL409862,Ki,260.0,nM,
CHEMBL219451,Ki,88.0,nM,
CHEMBL218855,Ki,280.0,nM,
CHEMBL375200,Ki,328.0,nM,
CHEMBL387167,Ki,1890.0,nM,
CHEMBL430071,Ki,1820.0,nM,
CHEMBL441704,Ki,471.0,nM,
CHEMBL409484,Ki,100.0,nM,
CHEMBL427777,Ki,100.0,nM,
CHEMBL262088,Ki,100.0,nM,
CHEMBL466280,IC50,1000.0,nM,
CHEMBL466068,IC50,10000.0,nM,
CHEMBL466481,IC50,10000.0,nM,
CHEMBL549560,IC50,2300.0,nM,
CHEMBL564209,IC50,4600.0,nM,
CHEMBL252387,IC50,720.0,nM,
CHEMBL63,IC50,,,
CHEMBL551052,IC50,2000.0,nM,
CHEMBL567470,IC50,2000.0,nM,
CHEMBL591059,IC50,3510.0,nM,
CHEMBL589984,IC50,1930.0,nM,
CHEMBL601295,IC50,2800.0,nM,
CHEMBL591114,IC50,1140.0,nM,
CHEMBL591997,IC50,1280.0,nM,
CHEMBL592241,IC50,910.0,nM,
CHEMBL592242,IC50,1730.0,nM,
CHEMBL592243,IC50,1610.0,nM,
CHEMBL603613,IC50,1540.0,nM,
CHEMBL592057,IC50,1200.0,nM,
CHEMBL17423,IC50,13200.0,nM,
CHEMBL592059,IC50,5670.0,nM,
CHEMBL591501,IC50,2000.0,nM,
CHEMBL1650673,IC50,50000.0,nM,
CHEMBL1650676,IC50,50000.0,nM,
CHEMBL1650866,IC50,50000.0,nM,
CHEMBL779,IC50,50000.0,nM,
CHEMBL1650673,IC50,50000.0,nM,
CHEMBL1650676,IC50,50000.0,nM,
CHEMBL1650866,IC50,50000.0,nM,
CHEMBL779,IC50,50000.0,nM,
CHEMBL34431,IC50,69.07,nM,
CHEMBL1683806,IC50,88.4,nM,
CHEMBL19224,IC50,1030.0,nM,
CHEMBL1821774,IC50,1250.0,nM,
CHEMBL1821775,IC50,1670.0,nM,
CHEMBL1821789,IC50,2170.0,nM,
CHEMBL1821787,IC50,2510.0,nM,
CHEMBL1821790,IC50,2520.0,nM,
CHEMBL1821791,IC50,3100.0,nM,
CHEMBL1821776,IC50,,,
CHEMBL1821777,IC50,,,
CHEMBL1821778,IC50,,,
CHEMBL1821779,IC50,,,
CHEMBL1821780,IC50,,,
CHEMBL1821781,IC50,,,
CHEMBL1821782,IC50,,,
CHEMBL1821783,IC50,,,
CHEMBL1821784,IC50,,,
CHEMBL1821785,IC50,,,
CHEMBL1821786,IC50,,,
CHEMBL1821788,IC50,,,
CHEMBL1916475,IC50,2000.0,nM,
CHEMBL2313234,IC50,10000.0,nM,
CHEMBL2001019,IC50,5360.0,nM,
CHEMBL2431819,IC50,150.0,nM,
CHEMBL2431835,IC50,420.0,nM,
CHEMBL2431834,IC50,699.0,nM,
CHEMBL2431826,IC50,88.0,nM,
CHEMBL2431822,IC50,107.0,nM,
CHEMBL3092413,IC50,24000.0,nM,
CHEMBL3222276,IC50,3000.0,nM,
CHEMBL3222274,IC50,4800.0,nM,
CHEMBL3222273,IC50,16900.0,nM,
CHEMBL3218039,IC50,9750.0,nM,
CHEMBL3218037,IC50,3850.0,nM,
CHEMBL3218036,IC50,82700.0,nM,
CHEMBL3331521,IC50,10000.0,nM,
CHEMBL3393204,IC50,234000.0,nM,
CHEMBL3393195,IC50,6540.0,nM,
CHEMBL3393194,IC50,4110.0,nM,
CHEMBL3092559,IC50,10000.0,nM,
CHEMBL17423,IC50,14540.0,nM,
CHEMBL3614045,IC50,28020.0,nM,
CHEMBL3614044,IC50,25110.0,nM,
CHEMBL3614043,IC50,25620.0,nM,
CHEMBL3614042,IC50,16620.0,nM,
CHEMBL3614041,IC50,14490.0,nM,
CHEMBL3614031,IC50,16720.0,nM,
CHEMBL3614040,IC50,10210.0,nM,
CHEMBL3614039,IC50,8540.0,nM,
CHEMBL3614038,IC50,7270.0,nM,
CHEMBL3614037,IC50,4720.0,nM,
CHEMBL3614036,IC50,4650.0,nM,
CHEMBL3614035,IC50,2340.0,nM,
CHEMBL3614034,IC50,5920.0,nM,
CHEMBL3614032,IC50,5010.0,nM,
CHEMBL3614033,IC50,3830.0,nM,
CHEMBL3628713,IC50,103000.0,nM,
CHEMBL3628714,IC50,5680.0,nM,
CHEMBL3628715,IC50,19100.0,nM,
CHEMBL3628716,IC50,7760.0,nM,
CHEMBL3628717,IC50,4550.0,nM,
CHEMBL3628718,IC50,16200.0,nM,
CHEMBL3628719,IC50,61900.0,nM,
CHEMBL3628720,IC50,29600.0,nM,
CHEMBL3628721,IC50,3480.0,nM,
CHEMBL3628722,IC50,3560.0,nM,
CHEMBL3628723,IC50,19900.0,nM,
CHEMBL3628724,IC50,23900.0,nM,
CHEMBL3628725,IC50,,,
CHEMBL3628726,IC50,,,
CHEMBL3628994,IC50,5610.0,nM,
CHEMBL3628995,IC50,1000000.0,nM,
CHEMBL3628996,IC50,50100.0,nM,
CHEMBL3628997,IC50,51800.0,nM,
CHEMBL3628998,IC50,28130.0,nM,
CHEMBL3628999,IC50,38300.0,nM,
CHEMBL3629000,IC50,16200.0,nM,
CHEMBL3629001,IC50,151000.0,nM,
CHEMBL3628685,IC50,100000.0,nM,
CHEMBL3661035,IC50,4000.0,nM,
CHEMBL3661035,IC50,4000.0,nM,
CHEMBL3770470,Ki,1500.0,nM,
CHEMBL3770107,Ki,42000.0,nM,
CHEMBL3769461,Ki,30000.0,nM,
CHEMBL3769817,Ki,1200.0,nM,
CHEMBL3770459,Ki,3100.0,nM,
CHEMBL3814434,EC50,6000.0,nM,
CHEMBL3885161,IC50,100000.0,nM,
CHEMBL3884224,IC50,100000.0,nM,
CHEMBL3883753,IC50,100000.0,nM,
CHEMBL3884788,IC50,100000.0,nM,
CHEMBL63,IC50,,,
CHEMBL3899621,IC50,50000.0,nM,
CHEMBL3899621,IC50,50000.0,nM,
CHEMBL4206423,IC50,100000.0,nM,
CHEMBL4215772,IC50,100000.0,nM,
CHEMBL4284354,IC50,800.0,nM,
CHEMBL4283606,IC50,,,
CHEMBL4295242,IC50,950.0,nM,
CHEMBL4278921,IC50,321.0,nM,
CHEMBL4282274,IC50,169.0,nM,
CHEMBL63,IC50,,,
CHEMBL4281590,IC50,20000.0,nM,
CHEMBL4289471,IC50,20000.0,nM,
CHEMBL4278136,IC50,20000.0,nM,
CHEMBL4286052,IC50,20000.0,nM,
CHEMBL4283473,IC50,20000.0,nM,
CHEMBL4292389,IC50,20000.0,nM,
CHEMBL4281766,IC50,20000.0,nM,
CHEMBL4277243,IC50,20000.0,nM,
CHEMBL4285199,IC50,20000.0,nM,
CHEMBL4280648,IC50,20000.0,nM,
CHEMBL4284224,IC50,20000.0,nM,
CHEMBL4289291,IC50,20000.0,nM,
CHEMBL4281081,IC50,20000.0,nM,
CHEMBL4291228,IC50,20000.0,nM,
