molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1203068,IC50,5.14,nM,
CHEMBL283884,IC50,7000.0,nM,
CHEMBL29243,IC50,2000.0,nM,
CHEMBL1203039,IC50,0.81,nM,
CHEMBL1203031,IC50,0.84,nM,
CHEMBL1203057,IC50,2.78,nM,
CHEMBL1743760,IC50,10000.0,nM,
CHEMBL1203084,IC50,10.0,nM,
CHEMBL1203083,IC50,1.11,nM,
CHEMBL12831,IC50,8000.0,nM,
CHEMBL189,IC50,2500.0,nM,
CHEMBL12856,IC50,50000.0,nM,
CHEMBL283272,IC50,35000.0,nM,
CHEMBL29186,IC50,5000.0,nM,
CHEMBL27746,IC50,80000.0,nM,
CHEMBL1203086,IC50,1.13,nM,
CHEMBL28756,IC50,2000.0,nM,
CHEMBL1203091,IC50,4.96,nM,
CHEMBL1203069,IC50,2.56,nM,
CHEMBL1203032,IC50,0.63,nM,
CHEMBL1203063,IC50,1.25,nM,
CHEMBL1203034,IC50,1.03,nM,
CHEMBL30027,IC50,128000.0,nM,
CHEMBL30162,IC50,10000.0,nM,
CHEMBL27976,IC50,37000.0,nM,
CHEMBL284897,IC50,160000.0,nM,
CHEMBL249856,IC50,14000.0,nM,
CHEMBL286020,IC50,500000.0,nM,
CHEMBL440593,IC50,600.0,nM,
CHEMBL27919,IC50,62000.0,nM,
CHEMBL1203092,IC50,5.42,nM,
CHEMBL1203024,IC50,1.13,nM,
CHEMBL1203053,IC50,0.81,nM,
CHEMBL1203019,IC50,1.13,nM,
CHEMBL46012,IC50,3200.0,nM,
CHEMBL316185,IC50,,nM,
CHEMBL44279,IC50,52000.0,nM,
CHEMBL49619,IC50,140000.0,nM,
CHEMBL313561,IC50,,nM,
CHEMBL296349,IC50,270000.0,nM,
CHEMBL86743,IC50,5570.0,nM,
CHEMBL314981,IC50,10000.0,nM,
CHEMBL87304,IC50,10000.0,nM,
CHEMBL49812,IC50,590000.0,nM,
CHEMBL85350,IC50,10000.0,nM,
CHEMBL84731,IC50,10000.0,nM,
CHEMBL50547,IC50,22000.0,nM,
CHEMBL49593,IC50,54000.0,nM,
CHEMBL89248,IC50,6030.0,nM,
CHEMBL313482,IC50,,nM,
