molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL344944,Ki,7900.0,nM,
CHEMBL164253,IC50,25000.0,nM,
CHEMBL161026,IC50,8000.0,nM,
CHEMBL350448,IC50,21000.0,nM,
CHEMBL347393,IC50,13000.0,nM,
CHEMBL346749,IC50,14000.0,nM,
CHEMBL159506,IC50,28000.0,nM,
CHEMBL160093,IC50,15000.0,nM,
CHEMBL159801,IC50,11000.0,nM,
CHEMBL348356,IC50,22000.0,nM,
CHEMBL184006,IC50,4800.0,nM,
CHEMBL184877,IC50,3200.0,nM,
CHEMBL184781,IC50,980.0,nM,
CHEMBL361454,IC50,840.0,nM,
CHEMBL184153,IC50,3700.0,nM,
CHEMBL362141,IC50,600.0,nM,
CHEMBL427152,IC50,10.0,nM,
CHEMBL184791,IC50,120.0,nM,
CHEMBL182703,IC50,10.0,nM,
CHEMBL185814,IC50,160.0,nM,
CHEMBL185019,IC50,160.0,nM,
CHEMBL361469,IC50,30.0,nM,
CHEMBL184945,IC50,50.0,nM,
CHEMBL185208,IC50,30.0,nM,
CHEMBL185304,IC50,10.0,nM,
CHEMBL427505,IC50,20.0,nM,
CHEMBL185588,IC50,1520.0,nM,
CHEMBL185296,IC50,20.0,nM,
CHEMBL366149,IC50,20.0,nM,
CHEMBL363084,IC50,20.0,nM,
CHEMBL427513,IC50,20.0,nM,
CHEMBL182617,IC50,10.0,nM,
CHEMBL183465,IC50,10.0,nM,
CHEMBL185370,IC50,40.0,nM,
CHEMBL363894,IC50,100.0,nM,
CHEMBL185101,IC50,10.0,nM,
CHEMBL183102,IC50,10.0,nM,
CHEMBL184279,IC50,20.0,nM,
CHEMBL183965,IC50,50.0,nM,
CHEMBL359890,IC50,10.0,nM,
CHEMBL183156,IC50,4600.0,nM,
CHEMBL362719,IC50,2200.0,nM,
CHEMBL184837,IC50,1310.0,nM,
CHEMBL363673,IC50,1370.0,nM,
CHEMBL182227,IC50,260.0,nM,
CHEMBL182574,IC50,160.0,nM,
CHEMBL183280,IC50,40.0,nM,
CHEMBL184861,IC50,4.0,nM,
CHEMBL182536,IC50,3.5,nM,
CHEMBL365447,IC50,10.0,nM,
CHEMBL360627,IC50,10.0,nM,
CHEMBL185523,IC50,30.0,nM,
CHEMBL184017,IC50,150.0,nM,
CHEMBL184334,IC50,1500.0,nM,
CHEMBL182681,IC50,4800.0,nM,
CHEMBL182788,IC50,3080.0,nM,
CHEMBL183789,IC50,1050.0,nM,
CHEMBL365621,IC50,1650.0,nM,
CHEMBL361706,IC50,6400.0,nM,
CHEMBL184470,IC50,7500.0,nM,
CHEMBL360434,IC50,1300.0,nM,
CHEMBL367135,IC50,290.0,nM,
CHEMBL182294,IC50,140.0,nM,
CHEMBL184416,IC50,700.0,nM,
CHEMBL184057,IC50,200.0,nM,
CHEMBL184016,IC50,90.0,nM,
CHEMBL359562,IC50,870.0,nM,
CHEMBL365659,IC50,60.0,nM,
CHEMBL185439,IC50,240.0,nM,
CHEMBL185502,IC50,5900.0,nM,
CHEMBL365494,IC50,5900.0,nM,
CHEMBL361053,IC50,4000.0,nM,
CHEMBL185275,IC50,1040.0,nM,
CHEMBL184979,IC50,960.0,nM,
CHEMBL184903,IC50,150.0,nM,
CHEMBL185108,IC50,1240.0,nM,
CHEMBL365402,IC50,5600.0,nM,
CHEMBL369541,IC50,3900.0,nM,
CHEMBL183816,IC50,7700.0,nM,
CHEMBL363236,IC50,1900.0,nM,
CHEMBL184806,IC50,2950.0,nM,
CHEMBL185531,IC50,5300.0,nM,
CHEMBL185532,IC50,1800.0,nM,
CHEMBL185604,IC50,140.0,nM,
CHEMBL263311,IC50,440.0,nM,
CHEMBL184701,IC50,1620.0,nM,
CHEMBL364200,IC50,210.0,nM,
CHEMBL185460,IC50,170.0,nM,
CHEMBL184013,IC50,400.0,nM,
CHEMBL363658,IC50,40.0,nM,
CHEMBL185203,IC50,80.0,nM,
CHEMBL360874,IC50,2130.0,nM,
CHEMBL363709,IC50,5700.0,nM,
CHEMBL184960,IC50,1630.0,nM,
CHEMBL365206,IC50,6600.0,nM,
CHEMBL361512,IC50,1700.0,nM,
CHEMBL427152,IC50,10.0,nM,
CHEMBL362264,IC50,230.0,nM,
CHEMBL183119,IC50,150.0,nM,
CHEMBL185446,IC50,60.0,nM,
CHEMBL365634,IC50,550.0,nM,
CHEMBL185144,IC50,130.0,nM,
CHEMBL362033,IC50,560.0,nM,
CHEMBL363097,IC50,60.0,nM,
CHEMBL184089,IC50,930.0,nM,
CHEMBL185173,IC50,470.0,nM,
CHEMBL183952,IC50,120.0,nM,
CHEMBL363118,IC50,80.0,nM,
CHEMBL186615,IC50,60.0,nM,
CHEMBL185460,IC50,170.0,nM,
CHEMBL185120,IC50,6600.0,nM,
CHEMBL363075,IC50,390.0,nM,
CHEMBL185360,IC50,60.0,nM,
CHEMBL184600,IC50,6850.0,nM,
CHEMBL184081,IC50,790.0,nM,
CHEMBL185241,IC50,2960.0,nM,
CHEMBL366319,IC50,60.0,nM,
CHEMBL184888,IC50,1400.0,nM,
CHEMBL185485,IC50,210.0,nM,
CHEMBL361048,IC50,2660.0,nM,
CHEMBL184085,IC50,6540.0,nM,
CHEMBL185150,IC50,2700.0,nM,
CHEMBL366148,IC50,9500.0,nM,
CHEMBL184829,IC50,20.0,nM,
CHEMBL183040,IC50,470.0,nM,
CHEMBL184154,IC50,30.0,nM,
CHEMBL187201,IC50,60.0,nM,
CHEMBL364813,IC50,20.0,nM,
CHEMBL186868,IC50,3.9,nM,
CHEMBL537889,IC50,10000.0,nM,
CHEMBL484785,IC50,730.0,nM,
CHEMBL484928,IC50,2200.0,nM,
CHEMBL466280,IC50,1000.0,nM,
CHEMBL466068,IC50,10000.0,nM,
CHEMBL466481,IC50,10000.0,nM,
CHEMBL514277,IC50,17000.0,nM,
CHEMBL456368,IC50,50000.0,nM,
CHEMBL458298,IC50,50000.0,nM,
CHEMBL457216,IC50,50000.0,nM,
CHEMBL63,IC50,,,
CHEMBL551052,IC50,2000.0,nM,
CHEMBL567470,IC50,2000.0,nM,
CHEMBL1221434,IC50,75000.0,nM,
CHEMBL1911416,IC50,823.0,nM,
CHEMBL1911417,IC50,5000.0,nM,
CHEMBL1911418,IC50,22.0,nM,
CHEMBL1911419,IC50,124.0,nM,
CHEMBL1911420,IC50,46.0,nM,
CHEMBL1911421,IC50,66.0,nM,
CHEMBL1911422,IC50,82.0,nM,
CHEMBL1911423,IC50,104.0,nM,
CHEMBL1911424,IC50,24.0,nM,
CHEMBL1911425,IC50,94.0,nM,
CHEMBL1911426,IC50,96.0,nM,
CHEMBL1911427,IC50,1070.0,nM,
CHEMBL1911428,IC50,179.0,nM,
CHEMBL1911429,IC50,1000.0,nM,
CHEMBL1911430,IC50,300.0,nM,
CHEMBL1911431,IC50,200.0,nM,
CHEMBL1911432,IC50,176.0,nM,
CHEMBL1911433,IC50,29.0,nM,
CHEMBL1911434,IC50,49.0,nM,
CHEMBL1911435,IC50,29.0,nM,
CHEMBL1911436,IC50,20.0,nM,
CHEMBL1911437,IC50,188.0,nM,
CHEMBL1911438,IC50,27.0,nM,
CHEMBL1911439,IC50,34.0,nM,
CHEMBL1911440,IC50,25.0,nM,
CHEMBL1911441,IC50,86.0,nM,
CHEMBL1911442,IC50,105.0,nM,
CHEMBL1911443,IC50,151.0,nM,
CHEMBL1911444,IC50,71.0,nM,
CHEMBL1911551,IC50,90.0,nM,
CHEMBL1911552,IC50,212.0,nM,
CHEMBL1911553,IC50,18.0,nM,
CHEMBL1911554,IC50,712.0,nM,
CHEMBL1911555,IC50,266.0,nM,
CHEMBL1911556,IC50,1000.0,nM,
CHEMBL1911557,IC50,767.0,nM,
CHEMBL1911558,IC50,165.0,nM,
CHEMBL1911560,IC50,2380.0,nM,
CHEMBL1911561,IC50,1000.0,nM,
CHEMBL1911562,IC50,1000.0,nM,
CHEMBL1911563,IC50,1000.0,nM,
CHEMBL1911564,IC50,317.0,nM,
CHEMBL1911565,IC50,33.0,nM,
CHEMBL1911566,IC50,686.0,nM,
CHEMBL1911567,IC50,178.0,nM,
CHEMBL1911550,IC50,206.0,nM,
CHEMBL1911568,IC50,1000.0,nM,
CHEMBL1911569,IC50,192.0,nM,
CHEMBL1911570,IC50,88.0,nM,
CHEMBL1911571,IC50,868.0,nM,
CHEMBL1911573,IC50,39.0,nM,
CHEMBL1911574,IC50,17.0,nM,
CHEMBL1911575,IC50,18.0,nM,
CHEMBL1911576,IC50,10.0,nM,
CHEMBL1911577,IC50,44.0,nM,
CHEMBL1911578,IC50,18.0,nM,
CHEMBL1911579,IC50,12.0,nM,
