molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL440082,EC50,,,
CHEMBL440082,IC50,,,
CHEMBL219499,EC50,0.13,nM,
CHEMBL219499,IC50,3.0,nM,
CHEMBL348785,Ki,56.0,nM,
CHEMBL152640,Ki,72.0,nM,
CHEMBL404071,Ki,241.0,nM,
CHEMBL255824,Ki,554.0,nM,
CHEMBL256837,Ki,537.0,nM,
CHEMBL272118,Ki,522.0,nM,
CHEMBL272122,Ki,274.0,nM,
CHEMBL269990,Ki,404.0,nM,
CHEMBL270677,Ki,140.0,nM,
CHEMBL409729,Ki,204.0,nM,
CHEMBL256379,Ki,185.0,nM,
CHEMBL153038,Ki,604.0,nM,
CHEMBL411120,Ki,85.0,nM,
CHEMBL270226,Ki,167.0,nM,
CHEMBL409325,Ki,152.0,nM,
CHEMBL524658,IC50,0.19,nM,
CHEMBL524658,Ki,0.16,nM,
CHEMBL524852,IC50,8.3,nM,
CHEMBL524658,IC50,6.1,nM,
CHEMBL525611,IC50,335.0,nM,
CHEMBL501487,IC50,49.3,nM,
CHEMBL525392,IC50,5.1,nM,
CHEMBL500280,IC50,7.9,nM,
CHEMBL500706,IC50,602.0,nM,
CHEMBL526004,IC50,97.2,nM,
CHEMBL526899,IC50,9.1,nM,
CHEMBL525091,IC50,9.84,nM,
CHEMBL525639,IC50,60.7,nM,
CHEMBL526154,IC50,34.4,nM,
CHEMBL524521,IC50,1330.0,nM,
CHEMBL525817,IC50,208.0,nM,
CHEMBL445530,IC50,10.8,nM,
CHEMBL525419,IC50,4.0,nM,
CHEMBL499781,IC50,4.9,nM,
CHEMBL525073,IC50,5.3,nM,
CHEMBL506133,IC50,7.3,nM,
CHEMBL524894,IC50,6.6,nM,
CHEMBL509368,IC50,9.9,nM,
CHEMBL524334,IC50,7.2,nM,
CHEMBL448495,IC50,508.0,nM,
CHEMBL500532,IC50,122.0,nM,
CHEMBL499240,IC50,2310.0,nM,
CHEMBL524359,IC50,951.0,nM,
CHEMBL524514,IC50,1410.0,nM,
CHEMBL525230,IC50,119.0,nM,
CHEMBL525258,IC50,9.4,nM,
CHEMBL525591,IC50,9.1,nM,
CHEMBL525207,IC50,25.2,nM,
CHEMBL502619,IC50,10.4,nM,
CHEMBL526116,IC50,308.0,nM,
CHEMBL524319,IC50,97.0,nM,
CHEMBL525951,IC50,1770.0,nM,
CHEMBL526923,IC50,158.0,nM,
CHEMBL525089,IC50,3150.0,nM,
CHEMBL506130,IC50,1280.0,nM,
CHEMBL526328,IC50,2040.0,nM,
CHEMBL501224,IC50,1010.0,nM,
CHEMBL505046,IC50,8.2,nM,
CHEMBL530563,IC50,5.7,nM,
CHEMBL526131,IC50,15.6,nM,
CHEMBL498948,IC50,7.5,nM,
CHEMBL524675,IC50,21.6,nM,
CHEMBL508607,IC50,11.3,nM,
CHEMBL526552,IC50,284.0,nM,
CHEMBL502352,IC50,9.2,nM,
CHEMBL501257,IC50,818.0,nM,
CHEMBL526000,IC50,12.5,nM,
CHEMBL501240,IC50,10.6,nM,
CHEMBL524494,IC50,7.0,nM,
CHEMBL524471,IC50,11.0,nM,
CHEMBL524683,IC50,6.6,nM,
CHEMBL498867,IC50,7.9,nM,
CHEMBL526360,IC50,6.7,nM,
CHEMBL507480,IC50,4.5,nM,
CHEMBL526315,IC50,5.4,nM,
CHEMBL525613,IC50,6.5,nM,
CHEMBL503123,IC50,5.0,nM,
CHEMBL524672,IC50,7.8,nM,
CHEMBL506840,IC50,8.5,nM,
CHEMBL524495,IC50,8.5,nM,
CHEMBL499507,IC50,8.6,nM,
CHEMBL526860,IC50,268.0,nM,
CHEMBL524524,IC50,76.3,nM,
CHEMBL500227,IC50,9.5,nM,
CHEMBL506517,IC50,7.2,nM,
CHEMBL1187422,IC50,51.4,nM,
CHEMBL499665,IC50,9.2,nM,
CHEMBL524528,IC50,1980.0,nM,
CHEMBL501268,IC50,775.0,nM,
CHEMBL525453,IC50,1940.0,nM,
CHEMBL525566,IC50,2170.0,nM,
CHEMBL525957,IC50,1420.0,nM,
CHEMBL525796,IC50,2590.0,nM,
CHEMBL530121,IC50,1550.0,nM,
CHEMBL527079,IC50,3590.0,nM,
CHEMBL527436,IC50,1750.0,nM,
CHEMBL525267,IC50,56.7,nM,
CHEMBL524852,EC50,5.6,nM,
CHEMBL525611,EC50,174.0,nM,
CHEMBL501487,EC50,11.0,nM,
CHEMBL525392,EC50,6.8,nM,
CHEMBL500280,EC50,5.1,nM,
CHEMBL500706,EC50,538.0,nM,
CHEMBL526004,EC50,10000.0,nM,
CHEMBL526899,EC50,20.8,nM,
CHEMBL525091,EC50,7.4,nM,
CHEMBL525639,EC50,39.8,nM,
CHEMBL526154,EC50,9.6,nM,
CHEMBL524521,EC50,462.0,nM,
CHEMBL525817,EC50,17.3,nM,
CHEMBL445530,EC50,8.75,nM,
CHEMBL525419,EC50,0.8,nM,
CHEMBL499781,EC50,15.2,nM,
CHEMBL525073,EC50,2.9,nM,
CHEMBL506133,EC50,8.4,nM,
CHEMBL524894,EC50,4.1,nM,
CHEMBL509368,EC50,18.6,nM,
CHEMBL524334,EC50,7.6,nM,
CHEMBL448495,EC50,199.0,nM,
CHEMBL500532,EC50,16.0,nM,
CHEMBL499240,EC50,549.0,nM,
CHEMBL524359,EC50,1840.0,nM,
CHEMBL524514,EC50,141.0,nM,
CHEMBL525230,EC50,7.3,nM,
CHEMBL525258,EC50,48.8,nM,
CHEMBL525591,EC50,110.0,nM,
CHEMBL525207,EC50,418.0,nM,
CHEMBL502619,EC50,219.0,nM,
CHEMBL525951,EC50,1810.0,nM,
CHEMBL526328,EC50,2120.0,nM,
CHEMBL501224,EC50,1010.0,nM,
CHEMBL505046,EC50,9.7,nM,
CHEMBL530563,EC50,4.4,nM,
CHEMBL526131,EC50,52.5,nM,
CHEMBL498948,EC50,2.4,nM,
CHEMBL524675,EC50,389.0,nM,
CHEMBL508607,EC50,37.6,nM,
CHEMBL526552,EC50,140.0,nM,
CHEMBL502352,EC50,52.2,nM,
CHEMBL501257,EC50,834.0,nM,
CHEMBL526000,EC50,37.6,nM,
CHEMBL501240,EC50,20.6,nM,
CHEMBL524494,EC50,1.5,nM,
CHEMBL524471,EC50,8.4,nM,
CHEMBL524683,EC50,2.6,nM,
CHEMBL498867,EC50,7.7,nM,
CHEMBL526360,EC50,2.7,nM,
CHEMBL507480,EC50,1.0,nM,
CHEMBL526315,EC50,1.1,nM,
CHEMBL525613,EC50,0.7,nM,
CHEMBL503123,EC50,1.4,nM,
CHEMBL524672,EC50,7.4,nM,
CHEMBL506840,EC50,4.1,nM,
CHEMBL524495,EC50,2.3,nM,
CHEMBL499507,EC50,0.7,nM,
CHEMBL500227,EC50,10.1,nM,
CHEMBL506517,EC50,4.3,nM,
CHEMBL1187422,EC50,49.4,nM,
CHEMBL499665,EC50,3.3,nM,
CHEMBL524528,EC50,1030.0,nM,
CHEMBL501268,EC50,2480.0,nM,
CHEMBL525453,EC50,35.0,nM,
CHEMBL525566,EC50,564.0,nM,
CHEMBL525957,EC50,4010.0,nM,
CHEMBL524319,Kd,4.074,nM,
CHEMBL525267,Kd,10.96,nM,
CHEMBL524524,Kd,35.48,nM,
CHEMBL526923,Kd,52.48,nM,
CHEMBL526116,EC50,,,
CHEMBL506130,EC50,,,
CHEMBL525089,EC50,,,
CHEMBL526923,EC50,,,
CHEMBL524319,EC50,,,
CHEMBL525267,EC50,,,
CHEMBL527436,EC50,,,
CHEMBL527079,EC50,,,
CHEMBL530121,EC50,,,
CHEMBL525796,EC50,,,
CHEMBL524524,EC50,,,
CHEMBL526860,EC50,,,
CHEMBL524658,EC50,2.1,nM,
CHEMBL1644183,IC50,7000.0,nM,
CHEMBL524852,IC50,4.571,nM,
CHEMBL3736230,IC50,44.67,nM,
CHEMBL3736134,IC50,57.54,nM,
CHEMBL3736230,IC50,53.0,nM,
CHEMBL3736134,IC50,57.0,nM,
CHEMBL4757203,IC50,0.182,nM,
CHEMBL4740931,IC50,0.01,nM,
CHEMBL5208587,IC50,1.48,nM,
CHEMBL5203375,IC50,0.11,nM,
CHEMBL5220770,EC50,0.03,nM,
CHEMBL1893324,EC50,2.3,nM,
CHEMBL5219662,IC50,3.5,nM,
CHEMBL5219076,IC90,0.42,nM,
CHEMBL5219076,IC90,0.12,nM,
