molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL704,IC50,10000000.0,nM,
CHEMBL1433,IC50,860000.0,nM,
CHEMBL1440,IC50,780000.0,nM,
CHEMBL404520,IC50,100000.0,nM,
CHEMBL1434,IC50,620000.0,nM,
CHEMBL22,IC50,7500000.0,nM,
CHEMBL700,IC50,10000000.0,nM,
CHEMBL443,IC50,10000000.0,nM,
CHEMBL372795,IC50,1800000.0,nM,
CHEMBL34259,IC50,10000000.0,nM,
CHEMBL960,IC50,2400000.0,nM,
CHEMBL1753,IC50,5100000.0,nM,
CHEMBL529,IC50,10000000.0,nM,
CHEMBL1542,IC50,8100000.0,nM,
CHEMBL404520,Ki,540000.0,nM,
CHEMBL404520,Ki,110000.0,nM,
CHEMBL1434,Ki,540000.0,nM,
CHEMBL372795,Ki,560000.0,nM,
CHEMBL1434,Ki,180000.0,nM,
CHEMBL1433,Ki,630000.0,nM,
CHEMBL1523832,IC50,42000.0,nM,
CHEMBL11417,IC50,2500.0,nM,
CHEMBL1708612,IC50,100000.0,nM,
CHEMBL1700860,IC50,92000.0,nM,
CHEMBL98123,IC50,39000.0,nM,
CHEMBL1712900,IC50,75000.0,nM,
CHEMBL60718,IC50,13000.0,nM,
CHEMBL1463659,IC50,21000.0,nM,
CHEMBL1372313,IC50,100000.0,nM,
CHEMBL51931,IC50,16000.0,nM,
CHEMBL1910974,IC50,10000000.0,nM,
CHEMBL1910975,IC50,1000000.0,nM,
CHEMBL1910976,IC50,1000000.0,nM,
CHEMBL1910977,IC50,500000.0,nM,
CHEMBL1910978,IC50,310000.0,nM,
CHEMBL1910979,IC50,2100000.0,nM,
CHEMBL1910980,IC50,310000.0,nM,
CHEMBL1910981,IC50,1000000.0,nM,
CHEMBL1910982,IC50,1000000.0,nM,
CHEMBL1910983,IC50,1000000.0,nM,
CHEMBL1910984,IC50,500000.0,nM,
CHEMBL1910985,IC50,230000.0,nM,
CHEMBL1910986,IC50,19000.0,nM,
CHEMBL1910987,IC50,12000.0,nM,
CHEMBL1910972,IC50,5900.0,nM,
CHEMBL1910970,IC50,1900.0,nM,
CHEMBL1910971,IC50,2200.0,nM,
CHEMBL1910973,IC50,22000.0,nM,
CHEMBL1910972,Ki,180000.0,nM,
CHEMBL1910970,Ki,16000.0,nM,
CHEMBL1910971,Ki,13000.0,nM,
CHEMBL1910973,Ki,330000.0,nM,
CHEMBL1910972,IC50,4000.0,nM,
CHEMBL1910970,IC50,1100.0,nM,
CHEMBL1910971,IC50,2400.0,nM,
CHEMBL1910973,IC50,21000.0,nM,
CHEMBL1910972,IC50,3400.0,nM,
CHEMBL1910970,IC50,400.0,nM,
CHEMBL1910971,IC50,1100.0,nM,
CHEMBL1910973,IC50,51000.0,nM,
CHEMBL1910972,IC50,9000.0,nM,
CHEMBL1910970,IC50,4600.0,nM,
CHEMBL1910971,IC50,5300.0,nM,
CHEMBL1910973,IC50,15000.0,nM,
CHEMBL1910972,IC50,15000.0,nM,
CHEMBL1910970,IC50,32000.0,nM,
CHEMBL1910971,IC50,22000.0,nM,
CHEMBL1910973,IC50,530000.0,nM,
CHEMBL1962361,IC50,5900.0,nM,
CHEMBL57818,Ki,20100.0,nM,
CHEMBL11417,IC50,2500.0,nM,
CHEMBL3113470,IC50,560.0,nM,
CHEMBL58150,IC50,240.0,nM,
CHEMBL60908,IC50,1000.0,nM,
CHEMBL1714002,IC50,3300.0,nM,
CHEMBL57818,IC50,640.0,nM,
CHEMBL3939919,IC50,100.0,nM,
CHEMBL3952821,IC50,158.49,nM,
CHEMBL3981570,IC50,125.89,nM,
CHEMBL3944071,IC50,39.81,nM,
CHEMBL3907951,IC50,50.12,nM,
CHEMBL3891031,IC50,79.43,nM,
CHEMBL4087801,Ki,488000.0,nM,
CHEMBL4068124,Ki,10000000.0,nM,
CHEMBL4082498,Ki,10000000.0,nM,
CHEMBL4101345,Ki,88000.0,nM,
CHEMBL4083360,Ki,591000.0,nM,
CHEMBL4081389,Ki,10000000.0,nM,
CHEMBL4099413,Ki,180000.0,nM,
CHEMBL4089260,Ki,64000.0,nM,
CHEMBL4061099,Ki,2823000.0,nM,
CHEMBL4084229,Ki,47000.0,nM,
CHEMBL4089583,Ki,632000.0,nM,
CHEMBL4059499,Ki,1430000.0,nM,
CHEMBL4102346,Ki,4643000.0,nM,
CHEMBL2312698,Ki,183000.0,nM,
CHEMBL4290815,IC50,16000.0,nM,
CHEMBL4291238,IC50,21000.0,nM,
CHEMBL4280594,IC50,29000.0,nM,
CHEMBL4294641,IC50,36000.0,nM,
CHEMBL4284049,IC50,190000.0,nM,
CHEMBL4539512,IC50,50.0,nM,
CHEMBL4546087,IC50,64000.0,nM,
CHEMBL4473416,IC50,53000.0,nM,
CHEMBL4461562,IC50,129000.0,nM,
CHEMBL4442207,IC50,36000.0,nM,
CHEMBL4464539,IC50,39000.0,nM,
CHEMBL4468883,IC50,28000.0,nM,
CHEMBL4449566,IC50,8800.0,nM,
CHEMBL4547728,IC50,22000.0,nM,
CHEMBL4539512,IC50,50.0,nM,
CHEMBL4539512,IC50,250.0,nM,
CHEMBL5093554,IC50,2300.0,nM,
CHEMBL3682418,IC50,1000.0,nM,
CHEMBL5093574,IC50,6.0,nM,
CHEMBL5070220,IC50,5.0,nM,
CHEMBL5083901,IC50,5.0,nM,
CHEMBL5070080,IC50,5.0,nM,
CHEMBL5087104,IC50,5.0,nM,
CHEMBL5080973,IC50,6.0,nM,
CHEMBL5188806,IC50,20.3,nM,
CHEMBL5201255,IC50,19.1,nM,
CHEMBL5187676,IC50,17.4,nM,
CHEMBL5195279,IC50,20.0,nM,
CHEMBL5180282,IC50,14.1,nM,
CHEMBL5194669,IC50,21.6,nM,
