molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL69129,IC50,33000.0,nM,
CHEMBL47940,IC50,33000.0,nM,
CHEMBL266969,IC50,100000.0,nM,
CHEMBL8000,IC50,100000.0,nM,
CHEMBL8091,IC50,500000.0,nM,
CHEMBL8271,IC50,50000.0,nM,
CHEMBL268368,IC50,310.0,nM,
CHEMBL266487,IC50,190.0,nM,
CHEMBL267019,IC50,75000.0,nM,
CHEMBL267941,IC50,500000.0,nM,
CHEMBL268868,IC50,80000.0,nM,
CHEMBL7352,IC50,460000.0,nM,
CHEMBL7775,IC50,500000.0,nM,
CHEMBL8222,IC50,500000.0,nM,
CHEMBL281470,IC50,725000.0,nM,
CHEMBL7914,IC50,100000.0,nM,
CHEMBL7929,IC50,500000.0,nM,
CHEMBL267869,IC50,100000.0,nM,
CHEMBL266255,IC50,270000.0,nM,
CHEMBL7939,IC50,32000.0,nM,
CHEMBL8163,IC50,500000.0,nM,
CHEMBL8095,IC50,100000.0,nM,
CHEMBL268441,IC50,100000.0,nM,
CHEMBL8223,IC50,500000.0,nM,
CHEMBL8036,IC50,100000.0,nM,
CHEMBL345384,IC50,151000.0,nM,
CHEMBL156776,IC50,101000.0,nM,
CHEMBL345881,IC50,24000.0,nM,
CHEMBL347195,IC50,161000.0,nM,
CHEMBL347684,IC50,162000.0,nM,
CHEMBL154620,IC50,144000.0,nM,
CHEMBL127929,IC50,50000.0,nM,
CHEMBL3350557,IC50,142000.0,nM,
CHEMBL347466,IC50,163000.0,nM,
CHEMBL428690,IC50,15000.0,nM,
CHEMBL370100,IC50,175000.0,nM,
CHEMBL300559,IC50,50000.0,nM,
CHEMBL61867,IC50,10000.0,nM,
CHEMBL431176,IC50,25000.0,nM,
CHEMBL418479,IC50,50000.0,nM,
CHEMBL97026,IC50,90000.0,nM,
CHEMBL279405,IC50,50000.0,nM,
CHEMBL93559,IC50,120000.0,nM,
CHEMBL327291,IC50,8000.0,nM,
CHEMBL329274,IC50,10.0,nM,
CHEMBL97448,IC50,110000.0,nM,
CHEMBL99572,IC50,8000.0,nM,
CHEMBL95737,IC50,100000.0,nM,
