molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL440201,Ki,1630.0,nM,
CHEMBL6453,Ki,114.0,nM,
CHEMBL173348,Ki,150.0,nM,
CHEMBL368720,Ki,1370.0,nM,
CHEMBL279115,Ki,0.8,nM,
CHEMBL300936,IC50,45000.0,nM,
CHEMBL428690,IC50,890.0,nM,
CHEMBL60254,IC50,32.0,nM,
CHEMBL59828,IC50,5.0,nM,
CHEMBL52529,IC50,0.9,nM,
CHEMBL67442,IC50,50.0,nM,
CHEMBL304549,IC50,90.0,nM,
CHEMBL54382,IC50,300.0,nM,
CHEMBL432130,IC50,250.0,nM,
CHEMBL291975,IC50,4200.0,nM,
CHEMBL55788,IC50,400.0,nM,
CHEMBL301860,IC50,970.0,nM,
CHEMBL52654,IC50,400.0,nM,
CHEMBL55394,IC50,400.0,nM,
CHEMBL300138,IC50,1000.0,nM,
CHEMBL300549,IC50,6000.0,nM,
CHEMBL388978,IC50,28.0,nM,
CHEMBL53596,IC50,400.0,nM,
CHEMBL293805,IC50,7000.0,nM,
CHEMBL60254,IC50,16.0,nM,
CHEMBL2310935,IC50,42000.0,nM,
CHEMBL59677,IC50,12.0,nM,
CHEMBL59828,IC50,5.0,nM,
CHEMBL433101,IC50,30.0,nM,
CHEMBL293500,IC50,330.0,nM,
CHEMBL59687,IC50,220.0,nM,
CHEMBL52529,IC50,1.0,nM,
CHEMBL294303,IC50,20.0,nM,
CHEMBL60455,IC50,20.0,nM,
CHEMBL60254,IC50,23.0,nM,
CHEMBL102991,Ki,30300.0,nM,
CHEMBL102991,Ki,415.0,nM,
CHEMBL27768,Kd,51.9,nM,
CHEMBL27768,Kd,0.53,nM,
CHEMBL102858,Ki,6150.0,nM,
CHEMBL102858,Ki,149.0,nM,
CHEMBL160375,Ki,0.8,nM,
CHEMBL352025,Ki,1000.0,nM,
CHEMBL159233,Ki,0.8,nM,
CHEMBL103091,Ki,10000.0,nM,
CHEMBL103091,Ki,92.0,nM,
CHEMBL318971,Ki,70600.0,nM,
CHEMBL318971,Ki,1160.0,nM,
CHEMBL351103,Ki,0.8,nM,
CHEMBL75680,IC50,100000.0,nM,
CHEMBL306884,IC50,112.0,nM,
CHEMBL71331,IC50,1.0,nM,
CHEMBL311399,IC50,32.0,nM,
CHEMBL305667,IC50,20.0,nM,
CHEMBL306883,IC50,3800.0,nM,
CHEMBL7078,Ki,91.1,nM,
CHEMBL305667,IC50,3500.0,nM,
CHEMBL72480,IC50,50.0,nM,
CHEMBL306884,IC50,1000.0,nM,
CHEMBL72480,IC50,2000.0,nM,
CHEMBL306883,IC50,5000.0,nM,
CHEMBL422056,IC50,5.0,nM,
CHEMBL337834,Kd,1.0,nM,
CHEMBL337834,Ki,2.12,nM,
CHEMBL306170,IC50,340.0,nM,
CHEMBL52869,IC50,50.0,nM,
CHEMBL298872,IC50,20.0,nM,
CHEMBL294166,IC50,30.0,nM,
CHEMBL300658,IC50,2000.0,nM,
CHEMBL55890,IC50,4400.0,nM,
CHEMBL53025,IC50,130.0,nM,
CHEMBL52529,IC50,0.9,nM,
CHEMBL318971,Ki,22010.0,nM,
CHEMBL318971,Ki,70641.0,nM,
CHEMBL318971,Ki,1155.0,nM,
CHEMBL293722,IC50,300.0,nM,
CHEMBL299987,IC50,420.0,nM,
CHEMBL298159,IC50,90.0,nM,
CHEMBL27266,Ki,135.6,nM,
CHEMBL27266,Ki,1900.0,nM,
CHEMBL27266,Ki,8.3,nM,
CHEMBL28205,Ki,260.8,nM,
CHEMBL28205,Ki,2771.0,nM,
CHEMBL28205,Ki,14.6,nM,
CHEMBL37684,Ki,65.0,nM,
CHEMBL34725,Ki,19.0,nM,
CHEMBL36821,Ki,1700.0,nM,
CHEMBL417692,Ki,0.32,nM,
CHEMBL289892,Ki,14.0,nM,
CHEMBL267144,Ki,1700.0,nM,
CHEMBL27266,Ki,80.0,nM,
CHEMBL34971,Ki,5.9,nM,
CHEMBL28205,Ki,32.0,nM,
CHEMBL37271,Ki,3.0,nM,
CHEMBL35696,Ki,5100.0,nM,
CHEMBL100546,Ki,80.0,nM,
CHEMBL100703,Ki,290.0,nM,
CHEMBL102863,Ki,2700.0,nM,
CHEMBL103658,Ki,6500.0,nM,
CHEMBL265099,Ki,12000.0,nM,
CHEMBL307747,IC50,32.0,nM,
CHEMBL67788,IC50,90.0,nM,
CHEMBL303205,IC50,4000.0,nM,
CHEMBL302998,IC50,90.0,nM,
CHEMBL70078,IC50,90.0,nM,
CHEMBL27768,Ki,0.8,nM,
CHEMBL27768,Ki,100.0,nM,
CHEMBL27768,Ki,12.0,nM,
CHEMBL27768,Ki,,nM,
CHEMBL27768,Ki,,nM,
CHEMBL27768,Ki,21.6,nM,
CHEMBL27266,Ki,8.2,nM,
CHEMBL28205,Ki,185.0,nM,
CHEMBL285801,Ki,0.8,nM,
CHEMBL6453,Ki,122.0,nM,
CHEMBL6453,Ki,10.7,nM,
CHEMBL6453,Ki,730.0,nM,
CHEMBL6453,Ki,134.0,nM,
CHEMBL6453,Ki,,nM,
CHEMBL6453,Ki,,nM,
CHEMBL6453,Ki,933.0,nM,
CHEMBL60254,IC50,32.0,nM,
CHEMBL66923,IC50,5.0,nM,
CHEMBL105620,IC50,,nM,
CHEMBL304175,IC50,10.0,nM,
CHEMBL66452,IC50,67.0,nM,
CHEMBL103506,IC50,610.0,nM,
CHEMBL302304,IC50,310.0,nM,
CHEMBL52529,IC50,0.9,nM,
CHEMBL67980,IC50,,nM,
CHEMBL27768,Kd,51.9,nM,
CHEMBL27768,Kd,0.53,nM,
CHEMBL388978,IC50,49.0,nM,
CHEMBL275750,Ki,2500.0,nM,
CHEMBL275750,Ki,2700.0,nM,
CHEMBL304626,IC50,18.0,nM,
CHEMBL68418,IC50,200.0,nM,
CHEMBL63262,Ki,2950.0,nM,
CHEMBL63262,Ki,67.5,nM,
CHEMBL27266,Ki,1900.0,nM,
CHEMBL27266,Ki,8.3,nM,
CHEMBL421217,IC50,,nM,
CHEMBL106384,IC50,1500.0,nM,
CHEMBL103421,IC50,,nM,
CHEMBL321315,IC50,,nM,
CHEMBL102714,IC50,,nM,
CHEMBL307543,IC50,50.0,nM,
CHEMBL103055,IC50,350.0,nM,
CHEMBL66750,IC50,80.0,nM,
CHEMBL321529,IC50,,nM,
CHEMBL319265,IC50,,nM,
CHEMBL66923,IC50,30.0,nM,
CHEMBL66923,IC50,250.0,nM,
CHEMBL431568,IC50,50.0,nM,
CHEMBL59828,IC50,5.0,nM,
CHEMBL67528,IC50,24.0,nM,
CHEMBL103628,IC50,1160.0,nM,
CHEMBL432168,IC50,5.0,nM,
CHEMBL307708,IC50,6.0,nM,
CHEMBL78129,IC50,110.0,nM,
CHEMBL262980,IC50,100.0,nM,
CHEMBL441802,IC50,60.0,nM,
CHEMBL306373,IC50,90.0,nM,
CHEMBL67442,IC50,50.0,nM,
CHEMBL75661,IC50,4.0,nM,
CHEMBL75004,IC50,20.0,nM,
CHEMBL306580,IC50,5.0,nM,
CHEMBL59828,IC50,5.0,nM,
CHEMBL309078,IC50,340.0,nM,
CHEMBL306883,IC50,5000.0,nM,
CHEMBL76537,IC50,90.0,nM,
CHEMBL305718,IC50,4000.0,nM,
CHEMBL77970,IC50,420.0,nM,
CHEMBL304549,IC50,90.0,nM,
CHEMBL77399,IC50,100.0,nM,
CHEMBL76920,IC50,40.0,nM,
CHEMBL312067,IC50,40.0,nM,
CHEMBL52529,IC50,1.0,nM,
CHEMBL306623,IC50,35.0,nM,
CHEMBL80525,IC50,20.0,nM,
CHEMBL263910,IC50,50.0,nM,
CHEMBL60254,IC50,4.0,nM,
CHEMBL309034,IC50,6.0,nM,
CHEMBL49354,IC50,20.0,nM,
CHEMBL308263,IC50,20.0,nM,
CHEMBL265998,Ki,70.2,nM,
CHEMBL265998,Ki,0.55,nM,
CHEMBL21162,IC50,500000.0,nM,
CHEMBL20426,IC50,500000.0,nM,
CHEMBL418010,IC50,500000.0,nM,
CHEMBL21079,IC50,100000.0,nM,
CHEMBL21086,IC50,100000.0,nM,
CHEMBL278103,IC50,500000.0,nM,
CHEMBL278287,IC50,100000.0,nM,
CHEMBL277430,IC50,100000.0,nM,
CHEMBL21215,IC50,100000.0,nM,
CHEMBL277931,IC50,23000.0,nM,
CHEMBL20867,IC50,500000.0,nM,
CHEMBL20252,IC50,500000.0,nM,
CHEMBL20926,IC50,500000.0,nM,
CHEMBL21078,IC50,100000.0,nM,
CHEMBL423288,IC50,500000.0,nM,
CHEMBL278630,IC50,100000.0,nM,
CHEMBL27768,Ki,107.0,nM,
CHEMBL27768,Ki,1.03,nM,
CHEMBL60816,IC50,500000.0,nM,
CHEMBL20867,IC50,500000.0,nM,
CHEMBL48988,IC50,20.0,nM,
CHEMBL345767,IC50,3.0,nM,
CHEMBL151800,IC50,130.0,nM,
CHEMBL941,IC50,100000.0,nM,
CHEMBL57581,IC50,100000.0,nM,
CHEMBL148745,IC50,30.0,nM,
CHEMBL21162,IC50,100000.0,nM,
CHEMBL300817,IC50,23000.0,nM,
CHEMBL151823,IC50,2600.0,nM,
CHEMBL277931,IC50,23000.0,nM,
CHEMBL57556,IC50,100000.0,nM,
CHEMBL20252,IC50,500000.0,nM,
CHEMBL423288,IC50,500000.0,nM,
CHEMBL418279,IC50,,nM,
CHEMBL55683,IC50,500000.0,nM,
CHEMBL48546,IC50,100.0,nM,
CHEMBL59099,IC50,,nM,
CHEMBL149313,IC50,300.0,nM,
CHEMBL57443,IC50,,nM,
CHEMBL300422,IC50,1800.0,nM,
CHEMBL150422,IC50,1900.0,nM,
CHEMBL56669,IC50,19000.0,nM,
CHEMBL58436,IC50,34000.0,nM,
CHEMBL59036,IC50,,nM,
CHEMBL49354,IC50,23.0,nM,
CHEMBL146846,IC50,4200.0,nM,
CHEMBL358264,IC50,40.0,nM,
CHEMBL299707,IC50,500000.0,nM,
CHEMBL291963,IC50,21000.0,nM,
CHEMBL292866,IC50,,nM,
CHEMBL56671,IC50,,nM,
CHEMBL48636,IC50,0.9,nM,
CHEMBL151731,IC50,820.0,nM,
CHEMBL55379,IC50,1400.0,nM,
CHEMBL55742,IC50,,nM,
CHEMBL343362,IC50,22000.0,nM,
CHEMBL56904,IC50,,nM,
CHEMBL418270,IC50,17000.0,nM,
CHEMBL293991,IC50,4400.0,nM,
CHEMBL418010,IC50,100000.0,nM,
CHEMBL439996,IC50,290.0,nM,
CHEMBL149873,IC50,410.0,nM,
CHEMBL56359,IC50,,nM,
CHEMBL295806,IC50,5.0,nM,
CHEMBL20926,IC50,500000.0,nM,
CHEMBL421790,IC50,270.0,nM,
CHEMBL150264,IC50,220.0,nM,
CHEMBL278103,IC50,500000.0,nM,
CHEMBL57690,IC50,39000.0,nM,
