molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3218926,IC50,6100.0,nM,
CHEMBL3218925,IC50,4600.0,nM,
CHEMBL2023985,IC50,6300.0,nM,
CHEMBL1829864,IC50,4300.0,nM,
CHEMBL1829872,IC50,3600.0,nM,
CHEMBL1829871,IC50,5200.0,nM,
CHEMBL3319356,IC50,8600.0,nM,
CHEMBL1829864,IC50,4300.0,nM,
CHEMBL3632912,IC50,15600.0,nM,
CHEMBL3632913,IC50,11800.0,nM,
CHEMBL3632914,IC50,7900.0,nM,
CHEMBL3633138,IC50,600.0,nM,
CHEMBL3633139,IC50,900.0,nM,
CHEMBL247484,IC50,17500.0,nM,
CHEMBL398328,IC50,3000.0,nM,
CHEMBL3741920,IC50,10400.0,nM,
CHEMBL8260,IC50,10300.0,nM,
CHEMBL3740356,IC50,5400.0,nM,
CHEMBL3740878,IC50,900.0,nM,
CHEMBL3739950,IC50,800.0,nM,
CHEMBL55415,IC50,600.0,nM,
CHEMBL1438439,IC50,500.0,nM,
CHEMBL28626,IC50,4300.0,nM,
CHEMBL3739990,IC50,6600.0,nM,
CHEMBL150,IC50,,,
CHEMBL241609,IC50,,,
CHEMBL3742081,IC50,,,
CHEMBL3739546,IC50,,,
CHEMBL309263,IC50,,,
CHEMBL3741913,IC50,,,
CHEMBL3288727,IC50,,,
CHEMBL3742073,IC50,,,
CHEMBL3741139,IC50,,,
CHEMBL3742307,IC50,,,
CHEMBL3740881,IC50,,,
CHEMBL3741744,IC50,,,
CHEMBL1950539,IC50,,,
CHEMBL3740337,IC50,,,
CHEMBL3741864,IC50,,,
CHEMBL3740766,IC50,,,
CHEMBL3739836,IC50,,,
CHEMBL3741052,IC50,,,
CHEMBL179166,IC50,8300.0,nM,
CHEMBL4577930,IC50,38000.0,nM,
CHEMBL179166,IC50,10000.0,nM,
CHEMBL4760367,IC50,100000.0,nM,
CHEMBL4783639,IC50,200000.0,nM,
CHEMBL4742123,IC50,200000.0,nM,
CHEMBL4778085,IC50,200000.0,nM,
CHEMBL4748824,IC50,200000.0,nM,
CHEMBL4800195,IC50,100000.0,nM,
CHEMBL4797766,IC50,200000.0,nM,
CHEMBL4786243,IC50,200000.0,nM,
CHEMBL4794972,IC50,200000.0,nM,
CHEMBL5219519,IC50,100000.0,nM,
CHEMBL5218807,IC50,10000.0,nM,
CHEMBL4794972,IC50,200000.0,nM,
