molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL5314404,IC50,8200.0,nM,
CHEMBL633,IC50,4800.0,nM,
CHEMBL629,IC50,20000.0,nM,
CHEMBL71,IC50,4300.0,nM,
CHEMBL87045,IC50,7800.0,nM,
CHEMBL23,IC50,9000.0,nM,
CHEMBL473,IC50,300000.0,nM,
CHEMBL54,IC50,7000.0,nM,
CHEMBL11,IC50,3600.0,nM,
CHEMBL558,IC50,43000.0,nM,
CHEMBL45816,IC50,980.0,nM,
CHEMBL193,IC50,37000.0,nM,
CHEMBL475534,IC50,36000.0,nM,
CHEMBL1423,IC50,54.0,nM,
CHEMBL12713,IC50,2300.0,nM,
CHEMBL2111110,IC50,20000.0,nM,
