molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL405821,IC50,1000.0,nM,
CHEMBL507974,IC50,30.0,nM,
CHEMBL3236329,IC50,15300.0,nM,
CHEMBL3236343,IC50,100000.0,nM,
CHEMBL3236329,IC50,8540.0,nM,
CHEMBL3236343,IC50,100000.0,nM,
CHEMBL3236329,IC50,2550.0,nM,
CHEMBL3236343,IC50,21000.0,nM,
CHEMBL3589894,IC50,13000.0,nM,
CHEMBL3589904,IC50,37000.0,nM,
CHEMBL3617053,IC50,20.0,nM,
CHEMBL1200606,IC50,11000.0,nM,
CHEMBL3634321,IC50,33000.0,nM,
CHEMBL3634322,IC50,4400.0,nM,
CHEMBL3634323,IC50,21000.0,nM,
CHEMBL3634324,IC50,7100.0,nM,
CHEMBL3634325,IC50,33000.0,nM,
CHEMBL3634326,IC50,4800.0,nM,
CHEMBL3634327,IC50,5400.0,nM,
CHEMBL3634328,IC50,26000.0,nM,
CHEMBL3634329,IC50,3300.0,nM,
CHEMBL3634330,IC50,3200.0,nM,
CHEMBL3634331,IC50,4300.0,nM,
CHEMBL3634332,IC50,920.0,nM,
CHEMBL3632641,IC50,670.0,nM,
CHEMBL3634333,IC50,8000.0,nM,
CHEMBL3634334,IC50,19000.0,nM,
CHEMBL3634335,IC50,3000.0,nM,
CHEMBL3634336,IC50,2700.0,nM,
CHEMBL3634337,IC50,4500.0,nM,
CHEMBL3632691,IC50,1200.0,nM,
CHEMBL3632692,IC50,1800.0,nM,
CHEMBL3632693,IC50,910.0,nM,
CHEMBL3632694,IC50,3000.0,nM,
CHEMBL3632695,IC50,1500.0,nM,
CHEMBL3632696,IC50,800.0,nM,
CHEMBL3632697,IC50,3100.0,nM,
CHEMBL3632698,IC50,3300.0,nM,
CHEMBL3341983,IC50,3080.0,nM,
CHEMBL3617063,IC50,6380.0,nM,
CHEMBL3809595,IC50,10000.0,nM,
CHEMBL3809641,IC50,10000.0,nM,
CHEMBL3809595,IC50,400.0,nM,
CHEMBL3809641,IC50,4800.0,nM,
CHEMBL3687538,IC50,7300.0,nM,
CHEMBL3707392,IC50,3400.0,nM,
CHEMBL3707392,IC50,100000.0,nM,
CHEMBL4084106,IC50,11000.0,nM,
CHEMBL4096468,IC50,43000.0,nM,
CHEMBL4060568,IC50,17000.0,nM,
CHEMBL3979498,IC50,42500.0,nM,
CHEMBL2324753,IC50,3000.0,nM,
CHEMBL2324411,IC50,216.0,nM,
CHEMBL2324776,IC50,8750.0,nM,
CHEMBL2325014,IC50,677.0,nM,
CHEMBL2324748,IC50,10000.0,nM,
CHEMBL4217988,IC50,309.0,nM,
CHEMBL4285790,IC50,112.0,nM,
CHEMBL4290579,IC50,45.0,nM,
CHEMBL4279238,IC50,53.0,nM,
CHEMBL3617053,IC50,32.0,nM,
CHEMBL4276884,IC50,20.0,nM,
CHEMBL4293085,IC50,12.0,nM,
CHEMBL4276813,IC50,455.0,nM,
CHEMBL3544913,IC50,22000.0,nM,
CHEMBL2325014,IC50,850.0,nM,
CHEMBL3657855,IC50,11.0,nM,
CHEMBL4217988,IC50,310.0,nM,
CHEMBL3662190,IC50,6.0,nM,
CHEMBL3318132,IC50,16.0,nM,
CHEMBL4588728,IC50,37.0,nM,
CHEMBL4454760,IC50,10000.0,nM,
CHEMBL507974,IC50,4.1,nM,
CHEMBL501134,IC50,2.3,nM,
CHEMBL3945969,IC50,14000.0,nM,
CHEMBL4471012,Kd,140.0,nM,
CHEMBL4444707,Kd,140.0,nM,
CHEMBL3945969,IC50,14000.0,nM,
CHEMBL4297317,IC50,30000.0,nM,
CHEMBL4464990,Kd,1000.0,nM,
CHEMBL4469805,IC50,8500.0,nM,
CHEMBL4633566,IC50,100000.0,nM,
CHEMBL3707392,IC50,96000.0,nM,
CHEMBL3707392,IC50,3400.0,nM,
CHEMBL4854735,IC50,620.0,nM,
CHEMBL4854735,IC50,90.0,nM,
CHEMBL4854735,IC50,560.0,nM,
CHEMBL5091679,EC50,124.1,nM,
CHEMBL5083412,EC50,125.8,nM,
CHEMBL5091623,EC50,125.8,nM,
CHEMBL5077579,EC50,92.0,nM,
CHEMBL5093878,EC50,102.1,nM,
CHEMBL5082582,EC50,7.9,nM,
CHEMBL5084333,EC50,171.5,nM,
CHEMBL3657855,IC50,10.6,nM,
CHEMBL5094715,IC50,202.0,nM,
CHEMBL5176104,IC50,100000.0,nM,
CHEMBL108,IC50,100000.0,nM,
CHEMBL3544913,IC50,15200.0,nM,
CHEMBL5275826,IC50,100000.0,nM,
CHEMBL3945969,IC50,14000.0,nM,
CHEMBL5289676,IC50,9000.0,nM,
CHEMBL4471012,IC50,100.0,nM,
CHEMBL4444707,IC50,192.0,nM,
CHEMBL3662077,IC50,48.0,nM,
CHEMBL3662190,IC50,6.0,nM,
