molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL512079,IC50,660.0,nM,
CHEMBL466715,IC50,1030.0,nM,
CHEMBL405821,IC50,1000.0,nM,
CHEMBL507974,IC50,30.0,nM,
CHEMBL3236329,IC50,100000.0,nM,
CHEMBL3236343,IC50,100000.0,nM,
CHEMBL3236329,IC50,32200.0,nM,
CHEMBL3236343,IC50,100000.0,nM,
CHEMBL3236329,IC50,3320.0,nM,
CHEMBL3236343,IC50,24000.0,nM,
CHEMBL3617053,IC50,10000.0,nM,
CHEMBL3798363,IC50,5000.0,nM,
CHEMBL3798228,IC50,8600.0,nM,
CHEMBL3798320,IC50,20000.0,nM,
CHEMBL698,IC50,520.0,nM,
CHEMBL3341983,IC50,11.0,nM,
CHEMBL3617063,IC50,0.8,nM,
CHEMBL3687538,IC50,3700.0,nM,
CHEMBL4084106,IC50,4200.0,nM,
CHEMBL4096468,IC50,46000.0,nM,
CHEMBL4060568,IC50,16000.0,nM,
CHEMBL3979498,IC50,650.0,nM,
CHEMBL2324753,IC50,199.0,nM,
CHEMBL2324411,IC50,510.0,nM,
CHEMBL2324776,IC50,1109.0,nM,
CHEMBL2325014,IC50,173.0,nM,
CHEMBL2324748,IC50,1636.0,nM,
CHEMBL4164272,IC50,183.0,nM,
CHEMBL4169884,IC50,66.0,nM,
CHEMBL4159169,IC50,104.0,nM,
CHEMBL4217988,IC50,5.461,nM,
CHEMBL4206427,IC50,1600.0,nM,
CHEMBL4224739,IC50,26.0,nM,
CHEMBL4285790,IC50,,,
CHEMBL4290579,IC50,92.0,nM,
CHEMBL4279238,IC50,190.0,nM,
CHEMBL3617053,IC50,10300.0,nM,
CHEMBL4276884,IC50,1050.0,nM,
CHEMBL4293085,IC50,2100.0,nM,
CHEMBL3707218,IC50,170.0,nM,
CHEMBL3544913,IC50,15000.0,nM,
CHEMBL2325014,IC50,160.0,nM,
CHEMBL3657855,IC50,480.0,nM,
CHEMBL4217988,IC50,5.8,nM,
CHEMBL3662190,IC50,38.0,nM,
CHEMBL3318132,IC50,32.0,nM,
CHEMBL4588728,IC50,130.0,nM,
CHEMBL4454760,IC50,1000.0,nM,
CHEMBL507974,IC50,2.3,nM,
CHEMBL501134,IC50,1.1,nM,
CHEMBL4458532,IC50,29000.0,nM,
