molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1824055,IC50,13.0,nM,
CHEMBL2371100,IC50,14.0,nM,
CHEMBL3350907,IC50,447.0,nM,
CHEMBL2371070,IC50,403.0,nM,
CHEMBL3350888,IC50,750.0,nM,
CHEMBL3350913,IC50,1000.0,nM,
CHEMBL3350913,IC50,10000.0,nM,
CHEMBL3350902,IC50,725.0,nM,
CHEMBL452157,IC50,13.0,nM,
CHEMBL3350901,IC50,1000.0,nM,
CHEMBL3350357,IC50,18.0,nM,
CHEMBL3350896,IC50,897.0,nM,
CHEMBL3350906,IC50,10000.0,nM,
CHEMBL3350906,IC50,1000.0,nM,
CHEMBL2111200,IC50,825.0,nM,
CHEMBL2371108,IC50,664.0,nM,
CHEMBL134280,Ki,2660.0,nM,
CHEMBL336819,Ki,,nM,
CHEMBL335223,Ki,5250.0,nM,
CHEMBL132658,Ki,3750.0,nM,
CHEMBL2369733,Ki,1000.0,nM,
CHEMBL2369756,Ki,450.0,nM,
CHEMBL2371893,Ki,40.2,nM,
CHEMBL2369749,Ki,38.2,nM,
CHEMBL2311098,Ki,115.1,nM,
CHEMBL2369750,Ki,330.0,nM,
CHEMBL2369751,Ki,576.0,nM,
CHEMBL2369758,Ki,148.0,nM,
CHEMBL1794035,Ki,1.2,nM,
CHEMBL442494,Ki,1.3,nM,
CHEMBL2369735,Ki,91.4,nM,
CHEMBL2369761,Ki,584.0,nM,
CHEMBL2369759,Ki,1000.0,nM,
CHEMBL2369755,Ki,66.0,nM,
CHEMBL2369752,Ki,390.0,nM,
CHEMBL2369753,Ki,315.0,nM,
CHEMBL2369760,Ki,23.6,nM,
CHEMBL2369734,Ki,68.7,nM,
CHEMBL2369754,Ki,140.0,nM,
CHEMBL2369757,Ki,537.0,nM,
CHEMBL409100,IC50,3.4,nM,
CHEMBL268611,IC50,10000.0,nM,
CHEMBL2114094,IC50,1000.0,nM,
CHEMBL2369510,IC50,10000.0,nM,
CHEMBL405222,IC50,1000.0,nM,
CHEMBL440083,IC50,1000.0,nM,
CHEMBL269485,IC50,1000.0,nM,
CHEMBL436887,IC50,1000.0,nM,
CHEMBL265846,IC50,273.0,nM,
CHEMBL405784,IC50,633.0,nM,
CHEMBL412624,IC50,445.0,nM,
CHEMBL409487,IC50,1000.0,nM,
CHEMBL2369533,IC50,4.3,nM,
CHEMBL426698,IC50,381.0,nM,
CHEMBL408654,IC50,1000.0,nM,
CHEMBL407858,IC50,1000.0,nM,
CHEMBL413378,IC50,975.0,nM,
CHEMBL414749,IC50,500.0,nM,
CHEMBL386922,IC50,1000.0,nM,
CHEMBL412629,IC50,280.0,nM,
CHEMBL2115143,IC50,1000.0,nM,
CHEMBL414571,IC50,345.0,nM,
CHEMBL410998,IC50,10000.0,nM,
CHEMBL408825,IC50,1000.0,nM,
CHEMBL2115143,IC50,750.0,nM,
CHEMBL428799,IC50,290.0,nM,
CHEMBL413441,IC50,1000.0,nM,
CHEMBL407120,IC50,10000.0,nM,
CHEMBL263340,IC50,618.0,nM,
CHEMBL438776,IC50,713.0,nM,
CHEMBL265912,IC50,13.1,nM,
CHEMBL2114095,IC50,1000.0,nM,
CHEMBL409973,IC50,1000.0,nM,
CHEMBL437451,IC50,81.0,nM,
CHEMBL265615,IC50,1000.0,nM,
CHEMBL2112223,Ki,2574.0,nM,
CHEMBL408362,Ki,0.66,nM,
CHEMBL305279,Ki,3614.0,nM,
CHEMBL69303,Ki,3688.0,nM,
CHEMBL302567,Ki,5686.0,nM,
CHEMBL71723,Ki,2950.0,nM,
CHEMBL414386,Ki,171.0,nM,
CHEMBL2372964,Ki,555.0,nM,
CHEMBL438281,Ki,385.0,nM,
CHEMBL384607,Ki,103.0,nM,
CHEMBL439005,Ki,290.0,nM,
CHEMBL414598,Ki,124.0,nM,
CHEMBL406152,Ki,495.0,nM,
CHEMBL2372956,Ki,1190.0,nM,
CHEMBL408987,Ki,192.0,nM,
CHEMBL2372963,Ki,231.0,nM,
CHEMBL2372961,Ki,100.0,nM,
CHEMBL413171,Ki,111.0,nM,
CHEMBL438726,Ki,93.0,nM,
CHEMBL2372959,Ki,568.0,nM,
CHEMBL439136,Ki,51.0,nM,
CHEMBL2372962,Ki,210.0,nM,
CHEMBL385746,Ki,53.0,nM,
CHEMBL412561,Ki,838.0,nM,
CHEMBL437448,Ki,57.0,nM,
CHEMBL264539,Ki,1350.0,nM,
CHEMBL410181,Ki,243.0,nM,
CHEMBL264028,Ki,18.0,nM,
CHEMBL407195,Ki,120.0,nM,
CHEMBL406491,Ki,382.0,nM,
CHEMBL413709,Ki,482.0,nM,
CHEMBL415201,Ki,271.0,nM,
CHEMBL385689,Ki,166.0,nM,
CHEMBL2311098,Ki,93.0,nM,
CHEMBL2372960,Ki,371.0,nM,
CHEMBL407496,Ki,269.0,nM,
CHEMBL437057,Ki,170.0,nM,
CHEMBL2372958,Ki,709.0,nM,
CHEMBL385745,Ki,108.0,nM,
CHEMBL439350,Ki,802.0,nM,
CHEMBL408787,Ki,1560.0,nM,
CHEMBL429166,Ki,175.0,nM,
CHEMBL406738,Ki,126.0,nM,
CHEMBL437220,Ki,85.0,nM,
CHEMBL275806,Ki,152.0,nM,
