molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1790896,IC50,15000.0,nM,
CHEMBL408687,IC50,0.46,nM,
CHEMBL2371562,IC50,1000.0,nM,
CHEMBL65,IC50,2.21,nM,
CHEMBL2371535,IC50,2.79,nM,
CHEMBL2371567,IC50,1000.0,nM,
CHEMBL2371563,IC50,54.2,nM,
CHEMBL36255,IC50,,nM,
CHEMBL2371564,IC50,571.0,nM,
CHEMBL1823872,IC50,0.83,nM,
CHEMBL2303622,IC50,15000.0,nM,
CHEMBL2303623,IC50,11000.0,nM,
CHEMBL364674,IC50,14000.0,nM,
CHEMBL194209,IC50,5100.0,nM,
CHEMBL371671,IC50,8400.0,nM,
CHEMBL372103,IC50,6600.0,nM,
CHEMBL197154,IC50,10000.0,nM,
CHEMBL373164,IC50,34000.0,nM,
CHEMBL193755,IC50,35000.0,nM,
CHEMBL382109,IC50,47000.0,nM,
CHEMBL1823872,IC50,0.83,nM,
CHEMBL2303622,IC50,15000.0,nM,
CHEMBL2303623,IC50,11000.0,nM,
CHEMBL364674,IC50,14000.0,nM,
CHEMBL194209,IC50,5100.0,nM,
CHEMBL371671,IC50,8400.0,nM,
CHEMBL372103,IC50,6600.0,nM,
CHEMBL197154,IC50,10000.0,nM,
CHEMBL373164,IC50,34000.0,nM,
CHEMBL193755,IC50,35000.0,nM,
CHEMBL382109,IC50,47000.0,nM,
CHEMBL209821,Ki,2000.0,nM,
CHEMBL411941,Ki,,,
CHEMBL214585,IC50,10000.0,nM,
CHEMBL437296,IC50,0.2,nM,
CHEMBL3350037,IC50,1.1,nM,
CHEMBL222699,IC50,1.6,nM,
CHEMBL376485,IC50,0.35,nM,
CHEMBL268060,IC50,1.6,nM,
CHEMBL376484,IC50,0.5,nM,
CHEMBL426548,IC50,0.64,nM,
