molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL99448,IC50,5130.0,nM,
CHEMBL417109,Ki,9.0,nM,
CHEMBL25081,Ki,1200.0,nM,
CHEMBL710,IC50,911.0,nM,
CHEMBL99615,IC50,127.0,nM,
CHEMBL97266,Ki,920.0,nM,
CHEMBL96006,IC50,298.0,nM,
CHEMBL138580,IC50,1600.0,nM,
CHEMBL439910,IC50,79.43,nM,
CHEMBL278957,IC50,34.67,nM,
CHEMBL277091,IC50,562.34,nM,
CHEMBL16494,IC50,60.26,nM,
CHEMBL279417,IC50,32.36,nM,
CHEMBL15917,IC50,32.36,nM,
CHEMBL16152,IC50,151.36,nM,
CHEMBL16456,IC50,173.78,nM,
CHEMBL439908,IC50,89.13,nM,
CHEMBL278049,IC50,1000.0,nM,
CHEMBL16248,IC50,1000.0,nM,
CHEMBL279131,IC50,7.943,nM,
CHEMBL16027,IC50,114.82,nM,
CHEMBL16330,IC50,114.82,nM,
CHEMBL279420,IC50,32.36,nM,
CHEMBL278981,IC50,34.67,nM,
CHEMBL42258,IC50,2780000.0,nM,
CHEMBL138225,IC50,1100.0,nM,
CHEMBL288893,IC50,3200000.0,nM,
CHEMBL41778,IC50,2100000.0,nM,
CHEMBL77650,IC50,0.2,ug.mL-1,
CHEMBL77650,IC50,990.0,nM,
CHEMBL77649,IC50,20.0,ug.mL-1,
CHEMBL24464,IC50,709.0,nM,
CHEMBL308610,IC50,4.0,ug.mL-1,
CHEMBL311624,IC50,0.3,ug.mL-1,
CHEMBL311624,IC50,1300.0,nM,
CHEMBL308819,IC50,20.0,ug.mL-1,
CHEMBL51628,IC50,20.0,ug.mL-1,
CHEMBL76373,IC50,1.7,ug.mL-1,
CHEMBL76373,IC50,8400.0,nM,
CHEMBL2311155,IC50,2700.0,nM,
CHEMBL277403,IC50,1000.0,nM,
CHEMBL311013,IC50,13.6,ug.mL-1,
CHEMBL311013,IC50,50300.0,nM,
CHEMBL491,IC50,,nM,
CHEMBL76959,IC50,0.15,ug.mL-1,
CHEMBL76959,IC50,490.0,nM,
CHEMBL432745,IC50,20.0,ug.mL-1,
CHEMBL36573,IC50,1000.0,nM,
CHEMBL312466,IC50,0.2,ug.mL-1,
CHEMBL312466,IC50,620.0,nM,
CHEMBL77167,IC50,20.0,ug.mL-1,
CHEMBL77117,IC50,20.0,ug.mL-1,
CHEMBL283564,IC50,981.0,nM,
CHEMBL77169,IC50,0.2,ug.mL-1,
CHEMBL77169,IC50,820.0,nM,
CHEMBL710,IC50,218.0,nM,
CHEMBL80175,IC50,4.0,ug.mL-1,
CHEMBL76687,IC50,4.0,ug.mL-1,
CHEMBL710,IC50,19.8,ug.mL-1,
CHEMBL710,IC50,53000.0,nM,
CHEMBL24191,IC50,1000.0,nM,
CHEMBL283123,Ki,0.3,nM,
CHEMBL24958,IC50,3.3,nM,
CHEMBL2298601,IC50,1.7,nM,
CHEMBL25664,IC50,20.0,nM,
CHEMBL285599,IC50,8.1,nM,
CHEMBL277224,Ki,8.8,nM,
CHEMBL3085538,Ki,6.9,nM,
CHEMBL264316,IC50,14.0,nM,
CHEMBL24291,Ki,2200.0,nM,
CHEMBL25083,IC50,38.0,nM,
CHEMBL280954,IC50,574.0,nM,
CHEMBL277664,IC50,460.0,nM,
CHEMBL25193,IC50,40.0,nM,
CHEMBL24193,IC50,1.7,nM,
CHEMBL280387,IC50,134.0,nM,
CHEMBL24464,IC50,709.0,nM,
