molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL307152,IC50,20000.0,nM,
CHEMBL363058,IC50,20000.0,nM,
CHEMBL362588,IC50,3100.0,nM,
CHEMBL186290,IC50,9500.0,nM,
CHEMBL178737,IC50,2000.0,nM,
CHEMBL362814,IC50,20000.0,nM,
CHEMBL362558,IC50,1200.0,nM,
CHEMBL261454,IC50,400.0,nM,
CHEMBL204158,IC50,20000.0,nM,
CHEMBL202625,IC50,14540.0,nM,
CHEMBL203214,IC50,19630.0,nM,
CHEMBL204139,IC50,8730.0,nM,
CHEMBL378167,IC50,10840.0,nM,
CHEMBL202730,IC50,20000.0,nM,
CHEMBL377711,IC50,20000.0,nM,
CHEMBL206233,IC50,20000.0,nM,
CHEMBL381532,IC50,19750.0,nM,
CHEMBL203791,IC50,20000.0,nM,
CHEMBL441176,IC50,20000.0,nM,
CHEMBL203619,IC50,352.0,nM,
CHEMBL204063,IC50,690.0,nM,
CHEMBL204170,IC50,395.0,nM,
CHEMBL204966,IC50,668.0,nM,
CHEMBL382838,IC50,1300.0,nM,
CHEMBL427211,IC50,20000.0,nM,
CHEMBL377717,IC50,20000.0,nM,
CHEMBL204061,IC50,20000.0,nM,
CHEMBL223360,Kd,10000.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL574738,Kd,260.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL296468,Kd,2400.0,nM,
CHEMBL522892,Kd,10000.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL31965,Kd,800.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL483321,Kd,10000.0,nM,
CHEMBL1421,Kd,2900.0,nM,
CHEMBL607707,Kd,10000.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL428690,Kd,5600.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL191003,Kd,10000.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL14762,Kd,10000.0,nM,
CHEMBL278041,Kd,10000.0,nM,
CHEMBL10,Kd,1800.0,nM,
CHEMBL440084,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL388978,Kd,10000.0,nM,
CHEMBL1721885,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL572878,Kd,10000.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL24828,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL603469,Kd,540.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL1240703,Kd,10000.0,nM,
CHEMBL496862,IC50,19000.0,nM,
CHEMBL1615182,IC50,2000.0,nM,
CHEMBL491473,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL386051,Kd,270.0,nM,
CHEMBL1721885,Kd,10000.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
CHEMBL601719,Kd,10000.0,nM,
CHEMBL450786,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL513909,Kd,10000.0,nM,
CHEMBL1789941,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL509032,Kd,250.0,nM,
CHEMBL1421,Kd,2900.0,nM,
CHEMBL1908395,Kd,2000.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL230011,Kd,10000.0,nM,
CHEMBL502835,Kd,10000.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL1908396,Kd,320.0,nM,
CHEMBL1230020,Kd,890.0,nM,
CHEMBL1287853,Kd,1100.0,nM,
CHEMBL1173655,Kd,10000.0,nM,
CHEMBL1230609,Kd,10000.0,nM,
CHEMBL1908397,Kd,10000.0,nM,
CHEMBL1241674,Kd,250.0,nM,
CHEMBL24828,Kd,10000.0,nM,
CHEMBL379218,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL428690,Kd,5600.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL1908391,Kd,10000.0,nM,
CHEMBL249697,Kd,10000.0,nM,
CHEMBL525191,Kd,10000.0,nM,
CHEMBL300138,Kd,10000.0,nM,
CHEMBL572878,Kd,10000.0,nM,
CHEMBL223360,Kd,10000.0,nM,
CHEMBL296468,Kd,2400.0,nM,
CHEMBL521851,Kd,10000.0,nM,
CHEMBL475251,Kd,330.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL377300,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL384304,Kd,10000.0,nM,
CHEMBL1289926,Kd,10000.0,nM,
CHEMBL603469,Kd,540.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL608154,Kd,10000.0,nM,
CHEMBL10,Kd,1800.0,nM,
CHEMBL464552,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL1236107,Kd,10000.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL522892,Kd,10000.0,nM,
CHEMBL1908394,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL288441,Kd,10000.0,nM,
CHEMBL574738,Kd,260.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL494089,Kd,10000.0,nM,
CHEMBL255863,Kd,10000.0,nM,
CHEMBL1336,Kd,6900.0,nM,
CHEMBL445813,Kd,10000.0,nM,
CHEMBL31965,Kd,800.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,3000.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL105442,Kd,10000.0,nM,
CHEMBL180022,Kd,10000.0,nM,
CHEMBL388978,Kd,10000.0,nM,
CHEMBL2180274,IC50,2030.0,nM,
CHEMBL2180274,IC50,2640.0,nM,
CHEMBL2180268,IC50,400.0,nM,
CHEMBL2180268,IC50,4060.0,nM,
CHEMBL2180273,IC50,460.0,nM,
CHEMBL2180273,IC50,6900.0,nM,
CHEMBL440084,IC50,66.0,nM,
CHEMBL2180267,IC50,170.0,nM,
CHEMBL2180266,IC50,170.0,nM,
CHEMBL2180272,IC50,3970.0,nM,
CHEMBL2180271,IC50,1920.0,nM,
CHEMBL2180270,IC50,590.0,nM,
CHEMBL2180269,IC50,940.0,nM,
CHEMBL2180268,IC50,530.0,nM,
CHEMBL2177136,IC50,790.0,nM,
CHEMBL2180286,IC50,2730.0,nM,
CHEMBL2180285,IC50,830.0,nM,
CHEMBL2180284,IC50,4060.0,nM,
CHEMBL2180283,IC50,830.0,nM,
CHEMBL2180282,IC50,1460.0,nM,
CHEMBL2180281,IC50,530.0,nM,
CHEMBL2180280,IC50,760.0,nM,
CHEMBL2180279,IC50,10000.0,nM,
CHEMBL2180274,IC50,4450.0,nM,
CHEMBL2180278,IC50,10000.0,nM,
CHEMBL2180277,IC50,10000.0,nM,
CHEMBL2180276,IC50,10000.0,nM,
CHEMBL2180275,IC50,10000.0,nM,
CHEMBL2180615,IC50,2060.0,nM,
CHEMBL2180614,IC50,890.0,nM,
CHEMBL2180613,IC50,1520.0,nM,
CHEMBL2180612,IC50,730.0,nM,
CHEMBL2180611,IC50,860.0,nM,
CHEMBL2180610,IC50,1350.0,nM,
CHEMBL2180609,IC50,1840.0,nM,
CHEMBL2180608,IC50,4050.0,nM,
CHEMBL2180290,IC50,3570.0,nM,
CHEMBL2180289,IC50,8800.0,nM,
CHEMBL2180273,IC50,850.0,nM,
CHEMBL2180288,IC50,1490.0,nM,
CHEMBL2180287,IC50,590.0,nM,
CHEMBL2180618,IC50,560.0,nM,
CHEMBL2180617,IC50,10000.0,nM,
CHEMBL2180616,IC50,10000.0,nM,
CHEMBL502351,IC50,,,
CHEMBL2385597,IC50,,,
CHEMBL2385591,IC50,327.0,nM,
CHEMBL511563,IC50,236.0,nM,
CHEMBL513147,IC50,140.4,nM,
CHEMBL478629,IC50,102.9,nM,
CHEMBL2385586,IC50,38.0,nM,
CHEMBL2385582,IC50,26.0,nM,
CHEMBL2385600,IC50,16.0,nM,
CHEMBL2385596,IC50,15.0,nM,
CHEMBL2385579,IC50,1.37,nM,
CHEMBL3745885,IC50,10000.0,nM,
CHEMBL1090090,Kd,30000.0,nM,
CHEMBL3544983,Kd,30000.0,nM,
CHEMBL495727,Kd,1384.0,nM,
CHEMBL3590106,Kd,30000.0,nM,
CHEMBL283120,Kd,30000.0,nM,
CHEMBL564829,Kd,30000.0,nM,
CHEMBL1614701,Kd,30000.0,nM,
CHEMBL2103839,Kd,30000.0,nM,
CHEMBL3545076,Kd,30000.0,nM,
CHEMBL3991932,Kd,30000.0,nM,
CHEMBL3182444,Kd,30000.0,nM,
CHEMBL3301612,Kd,30000.0,nM,
CHEMBL281948,Kd,30000.0,nM,
