molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL10,IC50,30000.0,nM,
CHEMBL261454,IC50,27000.0,nM,
CHEMBL261454,Kd,5.0,nM,
CHEMBL129677,IC50,34.0,nM,
CHEMBL129677,IC50,2.9,nM,
CHEMBL129677,IC50,7.1,nM,
CHEMBL118928,IC50,31.0,nM,
CHEMBL118928,IC50,44.0,nM,
CHEMBL118928,IC50,32.0,nM,
CHEMBL126789,IC50,151.0,nM,
CHEMBL126789,IC50,788.0,nM,
CHEMBL126789,IC50,683.0,nM,
CHEMBL129760,IC50,44.0,nM,
CHEMBL129760,IC50,47.0,nM,
CHEMBL129760,IC50,61.0,nM,
CHEMBL341280,IC50,31.0,nM,
CHEMBL341280,IC50,2.9,nM,
CHEMBL341280,IC50,1.2,nM,
CHEMBL341534,IC50,1760.0,nM,
CHEMBL341534,IC50,10000.0,nM,
CHEMBL341534,IC50,4670.0,nM,
CHEMBL129153,IC50,82.0,nM,
CHEMBL129153,IC50,24.0,nM,
CHEMBL129153,IC50,148.0,nM,
CHEMBL129553,IC50,543.0,nM,
CHEMBL129553,IC50,3370.0,nM,
CHEMBL129553,IC50,2160.0,nM,
CHEMBL129678,IC50,217.0,nM,
CHEMBL129678,IC50,355.0,nM,
CHEMBL129678,IC50,524.0,nM,
CHEMBL126180,IC50,369.0,nM,
CHEMBL126180,IC50,399.0,nM,
CHEMBL126180,IC50,1340.0,nM,
CHEMBL337978,IC50,275.0,nM,
CHEMBL337978,IC50,3530.0,nM,
CHEMBL337978,IC50,2590.0,nM,
CHEMBL129280,IC50,3990.0,nM,
CHEMBL129280,IC50,9000.0,nM,
CHEMBL129280,IC50,9540.0,nM,
CHEMBL125846,IC50,70.0,nM,
CHEMBL125846,IC50,139.0,nM,
CHEMBL125846,IC50,41.0,nM,
CHEMBL125738,IC50,57.0,nM,
CHEMBL125738,IC50,551.0,nM,
CHEMBL125738,IC50,421.0,nM,
CHEMBL126676,IC50,382.0,nM,
CHEMBL126676,IC50,1200.0,nM,
CHEMBL126676,IC50,2920.0,nM,
CHEMBL340203,IC50,91.0,nM,
CHEMBL340203,IC50,94.0,nM,
CHEMBL340203,IC50,76.0,nM,
CHEMBL338196,IC50,203.0,nM,
CHEMBL338196,IC50,94.0,nM,
CHEMBL338196,IC50,538.0,nM,
CHEMBL338713,IC50,150.0,nM,
CHEMBL338713,IC50,683.0,nM,
CHEMBL338713,IC50,1680.0,nM,
CHEMBL130025,IC50,353.0,nM,
CHEMBL130025,IC50,1660.0,nM,
CHEMBL130025,IC50,2810.0,nM,
CHEMBL261454,IC50,51.0,nM,
CHEMBL261454,IC50,47.0,nM,
CHEMBL261454,IC50,89.0,nM,
CHEMBL269339,IC50,1500.0,nM,
CHEMBL267228,IC50,260.0,nM,
CHEMBL266706,IC50,1600.0,nM,
CHEMBL6250,IC50,170.0,nM,
CHEMBL6304,IC50,5800.0,nM,
CHEMBL266707,IC50,50000.0,nM,
CHEMBL6294,IC50,50000.0,nM,
CHEMBL6252,IC50,400.0,nM,
CHEMBL269341,IC50,2950.0,nM,
CHEMBL6204,IC50,5100.0,nM,
CHEMBL440084,IC50,94.0,nM,
CHEMBL268889,IC50,460.0,nM,
CHEMBL10,IC50,6000.0,nM,
CHEMBL181640,IC50,720.0,nM,
CHEMBL181640,IC50,420.0,nM,
CHEMBL359724,IC50,3980.0,nM,
CHEMBL359724,IC50,10000.0,nM,
CHEMBL184746,IC50,1250.0,nM,
CHEMBL184746,IC50,6670.0,nM,
CHEMBL185237,IC50,10000.0,nM,
CHEMBL185237,IC50,10000.0,nM,
CHEMBL182678,IC50,1020.0,nM,
CHEMBL182678,IC50,10000.0,nM,
CHEMBL359611,IC50,10000.0,nM,
CHEMBL359611,IC50,10000.0,nM,
CHEMBL181958,IC50,7940.0,nM,
CHEMBL181958,IC50,10000.0,nM,
CHEMBL181361,IC50,40.0,nM,
CHEMBL181361,IC50,20.0,nM,
CHEMBL181361,IC50,120.0,nM,
CHEMBL360613,IC50,10000.0,nM,
CHEMBL360613,IC50,10000.0,nM,
CHEMBL182354,IC50,30.0,nM,
CHEMBL182354,IC50,220.0,nM,
CHEMBL360034,IC50,20.0,nM,
CHEMBL360034,IC50,6.0,nM,
CHEMBL360034,IC50,10.0,nM,
CHEMBL361237,IC50,40.0,nM,
CHEMBL361237,IC50,10.0,nM,
CHEMBL361237,IC50,30.0,nM,
CHEMBL183354,IC50,30.0,nM,
CHEMBL183354,IC50,10.0,nM,
CHEMBL183354,IC50,50.0,nM,
CHEMBL185238,IC50,20.0,nM,
CHEMBL185238,IC50,4.0,nM,
CHEMBL185238,IC50,10.0,nM,
CHEMBL362710,IC50,1170.0,nM,
CHEMBL362710,IC50,6580.0,nM,
CHEMBL447486,IC50,1770.0,nM,
CHEMBL447486,IC50,10000.0,nM,
CHEMBL365918,IC50,10960.0,nM,
CHEMBL365918,IC50,10000.0,nM,
CHEMBL186966,IC50,3540.0,nM,
CHEMBL186966,IC50,10000.0,nM,
CHEMBL425177,IC50,380.0,nM,
CHEMBL425177,IC50,260.0,nM,
CHEMBL365663,IC50,20.0,nM,
CHEMBL365663,IC50,10.0,nM,
CHEMBL365663,IC50,10.0,nM,
CHEMBL261454,IC50,59.0,nM,
CHEMBL261454,IC50,40.0,nM,
CHEMBL204158,IC50,6580.0,nM,
CHEMBL202625,IC50,1830.0,nM,
CHEMBL203214,IC50,4740.0,nM,
CHEMBL204139,IC50,1700.0,nM,
