molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3311308,EC50,50118.72,nM,
CHEMBL3311308,IC50,39810.72,nM,
CHEMBL4105357,EC50,210000.0,nM,
CHEMBL4466947,EC50,250000.0,nM,
CHEMBL4105357,EC50,250.0,nM,
CHEMBL4105357,EC50,210.0,nM,
CHEMBL4105357,EC50,1100000.0,nM,
CHEMBL462997,EC50,1400000.0,nM,
CHEMBL2289230,EC50,2300000.0,nM,
CHEMBL232202,EC50,5800000.0,nM,
CHEMBL4442376,EC50,,,
CHEMBL4469508,EC50,1000000.0,nM,
CHEMBL132186,EC50,,,
CHEMBL461727,EC50,20000000.0,nM,
CHEMBL482581,EC50,,,
CHEMBL4105357,EC50,1100000.0,nM,
CHEMBL462997,EC50,1400000.0,nM,
CHEMBL2289230,EC50,2300000.0,nM,
CHEMBL232202,EC50,5800000.0,nM,
CHEMBL4442376,EC50,,,
CHEMBL4469508,EC50,1000000.0,nM,
CHEMBL132186,EC50,32000000.0,nM,
CHEMBL461727,EC50,20000000.0,nM,
CHEMBL482581,EC50,,,
CHEMBL152723,EC50,,,
CHEMBL1235458,EC50,,,
CHEMBL4462691,EC50,,,
CHEMBL434,EC50,4.9,nM,
