molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL105819,IC50,0.7,nM,
CHEMBL273196,IC50,34.0,nM,
CHEMBL174750,IC50,10000.0,nM,
CHEMBL294121,IC50,10000.0,nM,
CHEMBL559015,Ki,45000.0,nM,
CHEMBL55155,Ki,52000.0,nM,
CHEMBL432306,IC50,109000.0,nM,
CHEMBL53448,Ki,71500.0,nM,
CHEMBL53946,Ki,342000.0,nM,
CHEMBL300030,Ki,65900.0,nM,
CHEMBL55125,Ki,272000.0,nM,
CHEMBL55653,Ki,53800.0,nM,
CHEMBL54894,Ki,60100.0,nM,
CHEMBL297835,IC50,18000.0,nM,
CHEMBL135723,Ki,120.0,nM,
CHEMBL55256,Ki,258500.0,nM,
CHEMBL96433,Ki,35.0,nM,
CHEMBL172928,Ki,8700.0,nM,
CHEMBL289395,Ki,137000.0,nM,
CHEMBL96493,Ki,63000.0,nM,
CHEMBL93269,Ki,25000.0,nM,
CHEMBL92251,Ki,280.0,nM,
CHEMBL48608,Ki,460.0,nM,
CHEMBL354996,Ki,8700.0,nM,
CHEMBL96917,Ki,381000.0,nM,
CHEMBL327789,Ki,14000.0,nM,
CHEMBL52427,Ki,110.0,nM,
CHEMBL92277,Ki,46000.0,nM,
CHEMBL327715,Ki,1000.0,nM,
CHEMBL328772,Ki,380.0,nM,
CHEMBL92883,Ki,160.0,nM,
CHEMBL330244,Ki,3400.0,nM,
CHEMBL366731,Ki,8700.0,nM,
CHEMBL96494,Ki,10000.0,nM,
CHEMBL319997,Ki,31000.0,nM,
CHEMBL316334,Ki,1300.0,nM,
CHEMBL92250,Ki,56000.0,nM,
CHEMBL433501,Ki,75000.0,nM,
CHEMBL284805,Ki,9400.0,nM,
CHEMBL94254,Ki,41000.0,nM,
CHEMBL330460,Ki,100000.0,nM,
CHEMBL94775,Ki,19.0,nM,
CHEMBL433179,Ki,113000.0,nM,
CHEMBL96428,Ki,150000.0,nM,
CHEMBL318363,Ki,2800.0,nM,
CHEMBL330234,Ki,690.0,nM,
CHEMBL321510,Ki,138000.0,nM,
CHEMBL94139,Ki,69000.0,nM,
CHEMBL95097,Ki,2400.0,nM,
CHEMBL91962,Ki,94.0,nM,
CHEMBL92964,Ki,69000.0,nM,
CHEMBL318526,Ki,19000.0,nM,
CHEMBL92865,Ki,48000.0,nM,
CHEMBL21052,IC50,10000.0,nM,
CHEMBL20918,IC50,10000.0,nM,
CHEMBL279486,IC50,10000.0,nM,
CHEMBL21140,IC50,10000.0,nM,
CHEMBL62492,Ki,16000.0,nM,
CHEMBL62807,Ki,29000.0,nM,
CHEMBL64579,Ki,590.0,nM,
CHEMBL305349,Ki,29000.0,nM,
CHEMBL62836,Ki,61000.0,nM,
CHEMBL62378,Ki,75000.0,nM,
CHEMBL61442,Ki,425000.0,nM,
CHEMBL303978,Ki,263000.0,nM,
CHEMBL293892,Ki,58000.0,nM,
CHEMBL302913,Ki,33000.0,nM,
CHEMBL61791,Ki,225000.0,nM,
CHEMBL293657,Ki,1700.0,nM,
CHEMBL62397,Ki,275000.0,nM,
CHEMBL303992,Ki,690.0,nM,
CHEMBL62753,Ki,75000.0,nM,
CHEMBL60831,Ki,880.0,nM,
CHEMBL416674,Ki,44000.0,nM,
CHEMBL62509,Ki,71000.0,nM,
CHEMBL62370,Ki,1000.0,nM,
CHEMBL64838,Ki,3200.0,nM,
CHEMBL64676,Ki,1000.0,nM,
CHEMBL294067,Ki,150000.0,nM,
