molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL813,IC50,7.3,nM,
CHEMBL813,IC50,2.0,nM,
CHEMBL55508,IC50,440.0,nM,
CHEMBL97533,IC50,31.0,nM,
CHEMBL97533,IC50,1.2,nM,
CHEMBL289543,IC50,4530.0,nM,
CHEMBL74556,IC50,1.9,nM,
CHEMBL24461,Ki,0.0001,nM,
CHEMBL126755,Ki,,nM,
CHEMBL311484,IC50,59.0,nM,
CHEMBL73876,IC50,8.1,nM,
CHEMBL302102,IC50,7.0,nM,
CHEMBL305647,IC50,0.84,nM,
CHEMBL74442,IC50,10.0,nM,
CHEMBL1513,Ki,1.1,nM,
CHEMBL17487,IC50,18.0,nM,
CHEMBL305956,IC50,12.0,nM,
CHEMBL278176,IC50,13.0,nM,
CHEMBL306361,IC50,12.0,nM,
CHEMBL263191,IC50,1.5,nM,
CHEMBL11706,Ki,10.0,nM,
CHEMBL415073,IC50,0.89,nM,
CHEMBL307430,IC50,7.2,nM,
CHEMBL194608,IC50,15.0,nM,
CHEMBL75401,IC50,26.5,nM,
CHEMBL259843,IC50,0.71,nM,
CHEMBL306362,IC50,1.2,nM,
CHEMBL76821,IC50,14.7,nM,
CHEMBL263452,IC50,5.8,nM,
CHEMBL74144,IC50,85.0,nM,
CHEMBL311386,IC50,65.0,nM,
CHEMBL311160,IC50,1.6,nM,
CHEMBL307290,IC50,33.0,nM,
CHEMBL74476,IC50,4.0,nM,
CHEMBL307191,IC50,44.0,nM,
CHEMBL72053,IC50,11.0,nM,
CHEMBL72838,IC50,0.17,nM,
CHEMBL74347,IC50,44.0,nM,
CHEMBL74767,IC50,0.47,nM,
CHEMBL74767,Ki,370.0,nM,
CHEMBL1069,Ki,4700.0,nM,
CHEMBL432162,IC50,32.0,nM,
CHEMBL430997,IC50,2.0,nM,
CHEMBL78345,IC50,298.0,nM,
CHEMBL71953,IC50,2.0,nM,
CHEMBL79242,IC50,2.9,nM,
CHEMBL308943,IC50,100.0,nM,
CHEMBL309820,IC50,10.0,nM,
CHEMBL273992,IC50,20.0,nM,
CHEMBL74113,IC50,20.0,nM,
CHEMBL309365,IC50,10.0,nM,
CHEMBL73780,IC50,2.0,nM,
CHEMBL310752,IC50,48.3,nM,
CHEMBL302959,IC50,0.9,nM,
CHEMBL309367,IC50,2.0,nM,
CHEMBL308361,IC50,6.0,nM,
CHEMBL303426,IC50,2.0,nM,
CHEMBL306961,IC50,2.0,nM,
CHEMBL72721,IC50,2.0,nM,
CHEMBL70389,IC50,20.0,nM,
CHEMBL308703,IC50,4.2,nM,
CHEMBL72819,IC50,6.0,nM,
CHEMBL995,IC50,5.5,nM,
CHEMBL306216,IC50,3.0,nM,
CHEMBL409170,IC50,10.0,nM,
CHEMBL307321,IC50,6.0,nM,
CHEMBL70638,IC50,10.0,nM,
CHEMBL304620,IC50,2.0,nM,
CHEMBL306922,IC50,9.0,nM,
CHEMBL302760,IC50,10.0,nM,
CHEMBL70796,IC50,2.0,nM,
CHEMBL307756,IC50,5.0,nM,
CHEMBL309165,IC50,2.0,nM,
CHEMBL72409,IC50,10.0,nM,
CHEMBL70801,IC50,5.0,nM,
CHEMBL306489,IC50,2.0,nM,
CHEMBL304137,IC50,3.0,nM,
CHEMBL70770,IC50,6.0,nM,
CHEMBL71069,IC50,8.0,nM,
CHEMBL330109,Ki,4.3,nM,
CHEMBL306638,IC50,0.35,nM,
CHEMBL71286,IC50,0.3,nM,
CHEMBL410417,Ki,0.7,nM,
CHEMBL90513,Ki,1.1,nM,
CHEMBL306923,IC50,3.0,nM,
CHEMBL307008,IC50,0.5,nM,
CHEMBL307359,IC50,0.4,nM,
CHEMBL306473,IC50,10.0,nM,
CHEMBL309790,IC50,0.3,nM,
CHEMBL91928,Ki,3.9,nM,
CHEMBL307866,IC50,3.0,nM,
CHEMBL307318,IC50,0.1,nM,
CHEMBL306340,IC50,0.3,nM,
CHEMBL302485,IC50,9.0,nM,
CHEMBL304065,IC50,0.6,nM,
CHEMBL74573,IC50,0.5,nM,
CHEMBL93522,Ki,0.45,nM,
CHEMBL70935,IC50,0.1,nM,
CHEMBL305238,IC50,0.1,nM,
CHEMBL311625,IC50,0.2,nM,
CHEMBL93159,Ki,0.49,nM,
CHEMBL309455,IC50,10.0,nM,
CHEMBL305239,IC50,8.0,nM,
CHEMBL311018,IC50,0.3,nM,
CHEMBL115021,IC50,6.0,nM,
CHEMBL305369,IC50,30.0,nM,
CHEMBL90027,Ki,0.66,nM,
CHEMBL72249,IC50,9.0,nM,
CHEMBL305017,IC50,0.1,nM,
CHEMBL90834,Ki,8.7,nM,
CHEMBL306186,IC50,30.0,nM,
CHEMBL70868,IC50,0.2,nM,
CHEMBL302579,IC50,0.3,nM,
CHEMBL315881,Ki,12.0,nM,
CHEMBL328296,Ki,2.7,nM,
CHEMBL330298,Ki,0.65,nM,
CHEMBL92950,Ki,0.29,nM,
CHEMBL73369,IC50,40.0,nM,
CHEMBL71125,IC50,0.57,nM,
CHEMBL330508,Ki,2.7,nM,
CHEMBL74514,IC50,0.8,nM,
CHEMBL303427,IC50,0.2,nM,
CHEMBL419073,IC50,0.6,nM,
CHEMBL71220,IC50,0.6,nM,
CHEMBL70793,IC50,3.0,nM,
CHEMBL69839,IC50,0.4,nM,
CHEMBL327903,Ki,1.3,nM,
CHEMBL430792,IC50,0.2,nM,
CHEMBL70353,IC50,2.0,nM,
CHEMBL70100,IC50,0.74,nM,
CHEMBL70726,IC50,0.28,nM,
CHEMBL70789,IC50,0.1,nM,
CHEMBL70843,IC50,0.1,nM,
CHEMBL306924,IC50,3.0,nM,
CHEMBL72595,IC50,0.5,nM,
CHEMBL302964,IC50,0.2,nM,
