molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL115220,IC50,10000.0,nM,
CHEMBL6246,IC50,40000.0,nM,
CHEMBL402548,IC50,31.0,nM,
CHEMBL373882,IC50,8300.0,nM,
CHEMBL223360,IC50,1900.0,nM,
CHEMBL230686,Ki,407.0,nM,
CHEMBL236928,IC50,1000.0,nM,
CHEMBL399208,IC50,34.0,nM,
CHEMBL237557,IC50,85.0,nM,
CHEMBL237347,IC50,3.0,nM,
CHEMBL395359,IC50,90.0,nM,
CHEMBL237346,IC50,95.0,nM,
CHEMBL237345,IC50,80.0,nM,
CHEMBL237344,IC50,6.0,nM,
CHEMBL395358,IC50,75.0,nM,
CHEMBL237128,IC50,25.0,nM,
CHEMBL237127,IC50,25.0,nM,
CHEMBL237126,IC50,75.0,nM,
CHEMBL393115,IC50,1000.0,nM,
CHEMBL392856,IC50,100.0,nM,
CHEMBL391567,IC50,170.0,nM,
CHEMBL247713,IC50,3000.0,nM,
CHEMBL396098,IC50,50.0,nM,
CHEMBL246685,IC50,200.0,nM,
CHEMBL246064,IC50,580.0,nM,
CHEMBL391437,IC50,,,
CHEMBL400906,IC50,100000.0,nM,
CHEMBL400568,IC50,10000.0,nM,
CHEMBL251740,IC50,100000.0,nM,
CHEMBL249501,IC50,100000.0,nM,
CHEMBL399042,IC50,100000.0,nM,
CHEMBL401064,IC50,100000.0,nM,
CHEMBL249302,IC50,100000.0,nM,
CHEMBL249096,IC50,100000.0,nM,
CHEMBL249095,IC50,100000.0,nM,
CHEMBL249094,IC50,100000.0,nM,
CHEMBL248891,IC50,10000.0,nM,
CHEMBL248890,IC50,100000.0,nM,
CHEMBL249519,IC50,10000.0,nM,
CHEMBL249518,IC50,3230.0,nM,
CHEMBL429478,IC50,1000.0,nM,
CHEMBL248713,IC50,110.0,nM,
CHEMBL248712,IC50,390.0,nM,
CHEMBL400569,IC50,140.0,nM,
CHEMBL400749,IC50,1000.0,nM,
CHEMBL251739,IC50,1230.0,nM,
CHEMBL249502,IC50,410.0,nM,
CHEMBL249500,IC50,1000.0,nM,
CHEMBL249304,IC50,1000.0,nM,
CHEMBL249303,IC50,1000.0,nM,
CHEMBL400859,IC50,1100.0,nM,
CHEMBL400858,IC50,,,
CHEMBL509032,IC50,1385.0,nM,
CHEMBL509032,EC50,1000.0,nM,
CHEMBL601719,IC50,10000.0,nM,
CHEMBL459850,EC50,77.0,nM,
CHEMBL524266,IC50,4000.0,nM,
CHEMBL495727,IC50,1.0,nM,
CHEMBL388978,IC50,0.46,nM,
CHEMBL572878,Kd,28.0,nM,
CHEMBL415049,Kd,80.0,nM,
CHEMBL461162,IC50,110.0,nM,
CHEMBL461340,IC50,60.0,nM,
CHEMBL512392,IC50,480.0,nM,
CHEMBL461341,IC50,600.0,nM,
CHEMBL512393,IC50,600.0,nM,
CHEMBL501371,IC50,600.0,nM,
CHEMBL515871,IC50,250.0,nM,
CHEMBL473101,IC50,90.0,nM,
CHEMBL504075,Kd,95.0,nM,
CHEMBL458440,IC50,10000.0,nM,
CHEMBL458441,IC50,10000.0,nM,
CHEMBL503236,IC50,10000.0,nM,
CHEMBL458352,IC50,10000.0,nM,
CHEMBL564829,IC50,1933.0,nM,
CHEMBL223360,Kd,100.0,nM,
CHEMBL572881,Kd,14.0,nM,
CHEMBL574738,Kd,17.0,nM,
CHEMBL215152,Kd,80.0,nM,
CHEMBL103667,Kd,500.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL522892,Kd,71.0,nM,
CHEMBL558752,Kd,150.0,nM,
CHEMBL31965,Kd,4200.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL483321,Kd,10000.0,nM,
CHEMBL1421,Kd,730.0,nM,
CHEMBL607707,Kd,10000.0,nM,
CHEMBL553,Kd,1300.0,nM,
CHEMBL428690,Kd,10000.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,310.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL191003,Kd,1000.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL608533,Kd,350.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL14762,Kd,10000.0,nM,
CHEMBL278041,Kd,10000.0,nM,
CHEMBL10,Kd,10000.0,nM,
CHEMBL440084,Kd,10000.0,nM,
CHEMBL1336,Kd,13.0,nM,
CHEMBL388978,Kd,15.0,nM,
CHEMBL1721885,Kd,37.0,nM,
CHEMBL535,Kd,12.0,nM,
CHEMBL572878,Kd,28.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL24828,Kd,34.0,nM,
CHEMBL223360,Kd,120.0,nM,
CHEMBL572881,Kd,20.0,nM,
