molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL553244,Ki,41000.0,nM,
CHEMBL557221,Ki,500000.0,nM,
CHEMBL540392,Ki,90000.0,nM,
CHEMBL38512,Ki,92000.0,nM,
CHEMBL349545,Ki,41000.0,nM,
CHEMBL345236,Ki,21000.0,nM,
CHEMBL422845,Ki,2500.0,nM,
CHEMBL440919,Ki,9000.0,nM,
CHEMBL415741,Ki,490.0,nM,
CHEMBL281899,Ki,101.0,nM,
CHEMBL344945,Ki,1420.0,nM,
CHEMBL159162,Ki,390.0,nM,
CHEMBL423756,Ki,1520.0,nM,
CHEMBL28890,Ki,6000.0,nM,
CHEMBL321519,Ki,5490.0,nM,
CHEMBL343884,Ki,169.0,nM,
CHEMBL346117,Ki,1200.0,nM,
CHEMBL158814,Ki,48.0,nM,
CHEMBL158939,Ki,13.0,nM,
CHEMBL423246,Ki,9600.0,nM,
CHEMBL158405,Ki,7.7,nM,
CHEMBL160944,Ki,12000.0,nM,
CHEMBL156858,Ki,9200.0,nM,
CHEMBL157131,Ki,1500.0,nM,
CHEMBL106071,Ki,103.0,nM,
CHEMBL345435,Ki,500.0,nM,
CHEMBL60088,Ki,320.0,nM,
CHEMBL350657,Ki,23000.0,nM,
CHEMBL2371217,Ki,22000.0,nM,
CHEMBL433510,Ki,43.0,nM,
CHEMBL160580,Ki,82000.0,nM,
CHEMBL342793,Ki,2500.0,nM,
CHEMBL422533,Ki,4000.0,nM,
CHEMBL160253,Ki,3100.0,nM,
CHEMBL441273,Ki,138.0,nM,
CHEMBL147427,Ki,58.0,nM,
CHEMBL157479,Ki,61000.0,nM,
CHEMBL352009,Ki,2200.0,nM,
CHEMBL322207,Ki,531.0,nM,
CHEMBL286243,Ki,102.0,nM,
CHEMBL158936,Ki,36.0,nM,
CHEMBL119647,Ki,56000.0,nM,
CHEMBL117368,Ki,370.0,nM,
CHEMBL103043,Ki,30.0,nM,
CHEMBL559015,Ki,19000.0,nM,
CHEMBL55155,Ki,170.0,nM,
CHEMBL134927,Ki,6000.0,nM,
CHEMBL134927,Kd,0.002,min-1,
CHEMBL53448,Ki,730.0,nM,
CHEMBL301324,Ki,920.0,nM,
CHEMBL294255,Ki,1500.0,nM,
CHEMBL53946,Ki,2130.0,nM,
CHEMBL300030,Ki,770.0,nM,
CHEMBL134926,Ki,120.0,nM,
CHEMBL134926,Kd,0.009,min-1,
CHEMBL291726,Ki,2100.0,nM,
CHEMBL56959,Ki,166300.0,nM,
CHEMBL54493,Ki,1280.0,nM,
CHEMBL55125,Ki,4830.0,nM,
CHEMBL137269,Ki,7830.0,nM,
CHEMBL137269,Kd,,,
CHEMBL55653,Ki,550.0,nM,
CHEMBL54894,Ki,690.0,nM,
CHEMBL135723,Ki,10.0,nM,
CHEMBL135724,Ki,18730.0,nM,
CHEMBL135724,Kd,0.005,min-1,
CHEMBL55256,Ki,1600.0,nM,
CHEMBL55284,Ki,2000.0,nM,
CHEMBL56037,Ki,9310.0,nM,
CHEMBL54415,Ki,16400.0,nM,
CHEMBL417754,Ki,770.0,nM,
CHEMBL54827,Ki,16100.0,nM,
CHEMBL335908,Ki,350.0,nM,
CHEMBL335908,Kd,0.044,min-1,
CHEMBL57779,Ki,490.0,nM,
CHEMBL55816,Ki,90200.0,nM,
CHEMBL96433,Ki,8.0,nM,
CHEMBL96493,Ki,3600.0,nM,
CHEMBL93269,Ki,1900.0,nM,
CHEMBL92251,Ki,500.0,nM,
CHEMBL48608,Ki,55.0,nM,
CHEMBL96917,Ki,55000.0,nM,
CHEMBL327789,Ki,900.0,nM,
CHEMBL52427,Ki,38.0,nM,
CHEMBL92277,Ki,2800.0,nM,
CHEMBL327715,Ki,400.0,nM,
CHEMBL328772,Ki,35.0,nM,
CHEMBL92883,Ki,55.0,nM,
CHEMBL330244,Ki,250.0,nM,
CHEMBL96494,Ki,550.0,nM,
CHEMBL319997,Ki,3900.0,nM,
CHEMBL316334,Ki,280.0,nM,
CHEMBL92250,Ki,3300.0,nM,
CHEMBL433501,Ki,5500.0,nM,
CHEMBL284805,Ki,2400.0,nM,
CHEMBL94254,Ki,3700.0,nM,
CHEMBL330460,Ki,13000.0,nM,
CHEMBL94775,Ki,25.0,nM,
CHEMBL433179,Ki,7500.0,nM,
CHEMBL96428,Ki,11000.0,nM,
CHEMBL318363,Ki,550.0,nM,
CHEMBL330234,Ki,100.0,nM,
CHEMBL321510,Ki,13000.0,nM,
CHEMBL94139,Ki,3600.0,nM,
CHEMBL95097,Ki,280.0,nM,
CHEMBL91962,Ki,43.0,nM,
CHEMBL92964,Ki,8000.0,nM,
CHEMBL318526,Ki,3200.0,nM,
CHEMBL92865,Ki,3600.0,nM,
CHEMBL355618,Ki,3060.0,nM,
CHEMBL440932,Ki,1100.0,nM,
CHEMBL172934,Ki,180.0,nM,
CHEMBL172982,Ki,700.0,nM,
CHEMBL174193,Ki,910.0,nM,
CHEMBL173392,Ki,640.0,nM,
CHEMBL355095,Ki,280.0,nM,
CHEMBL353478,Ki,160.0,nM,
CHEMBL171514,Ki,480.0,nM,
CHEMBL172637,Ki,170.0,nM,
CHEMBL173981,Ki,110.0,nM,
CHEMBL173065,Ki,660.0,nM,
CHEMBL354109,Ki,1500.0,nM,
CHEMBL173211,Ki,310.0,nM,
CHEMBL170410,Ki,500.0,nM,
CHEMBL60088,Ki,320.0,nM,
CHEMBL352875,Ki,1110.0,nM,
CHEMBL170477,Ki,1180.0,nM,
CHEMBL369810,Ki,280.0,nM,
CHEMBL173953,Ki,6000.0,nM,
CHEMBL173906,Ki,70.0,nM,
CHEMBL355341,Ki,180.0,nM,
CHEMBL171715,Ki,400.0,nM,
CHEMBL171270,Ki,1840.0,nM,
CHEMBL441839,Ki,240.0,nM,
CHEMBL172162,Ki,280.0,nM,
CHEMBL172150,Ki,1400.0,nM,
CHEMBL171245,Ki,200.0,nM,
CHEMBL173681,Ki,60.0,nM,
CHEMBL353665,Ki,1460.0,nM,
CHEMBL355531,Ki,350.0,nM,
CHEMBL171353,Ki,180.0,nM,
CHEMBL367114,Ki,520.0,nM,
CHEMBL353655,Ki,440.0,nM,
CHEMBL353872,Ki,110.0,nM,
CHEMBL170363,Ki,1020.0,nM,
CHEMBL171642,Ki,430.0,nM,
CHEMBL352562,Ki,80.0,nM,
CHEMBL172671,Ki,3900.0,nM,
CHEMBL369272,Ki,1620.0,nM,
CHEMBL173483,Ki,1600.0,nM,
CHEMBL171469,Ki,280.0,nM,
CHEMBL173096,Ki,280.0,nM,
CHEMBL1159957,Kd,,,
CHEMBL335908,Kd,0.044,min-1,
CHEMBL1159948,Kd,,,
CHEMBL1159958,Kd,0.009,min-1,
CHEMBL1159951,Kd,0.0008,min-1,
CHEMBL62492,Ki,550.0,nM,
CHEMBL62807,Ki,11.0,nM,
CHEMBL64579,Ki,190.0,nM,
CHEMBL305349,Ki,550.0,nM,
CHEMBL62836,Ki,190.0,nM,
CHEMBL3349045,Ki,81.0,nM,
CHEMBL62378,Ki,950.0,nM,
CHEMBL291261,Ki,63.0,nM,
CHEMBL61442,Ki,110.0,nM,
CHEMBL303978,Ki,460.0,nM,
CHEMBL293892,Ki,32.0,nM,
CHEMBL418050,Ki,48.0,nM,
CHEMBL302913,Ki,220.0,nM,
CHEMBL61791,Ki,1200.0,nM,
CHEMBL2448441,Ki,0.0086,nM,
CHEMBL36744,Ki,33.0,nM,
CHEMBL290577,Ki,15.0,nM,
CHEMBL293657,Ki,450.0,nM,
