molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL296908,Ki,14000.0,nM,
CHEMBL351970,IC50,,nM,
CHEMBL350973,IC50,,nM,
CHEMBL418890,IC50,15.0,nM,
CHEMBL159823,IC50,,nM,
CHEMBL159359,IC50,370.0,nM,
CHEMBL351587,IC50,1740.0,nM,
CHEMBL162910,IC50,,nM,
CHEMBL160029,IC50,,nM,
CHEMBL350089,IC50,110.0,nM,
CHEMBL349506,IC50,4100.0,nM,
CHEMBL350090,IC50,,nM,
CHEMBL159831,IC50,,nM,
CHEMBL159856,IC50,82.0,nM,
CHEMBL350383,IC50,240.0,nM,
CHEMBL49429,IC50,230.0,nM,
CHEMBL347020,IC50,86.0,nM,
CHEMBL162588,IC50,,nM,
CHEMBL321561,IC50,35.0,nM,
CHEMBL321561,Ki,,nM,
CHEMBL105961,IC50,5.0,nM,
CHEMBL105961,Ki,130.0,nM,
CHEMBL317673,IC50,100.0,nM,
CHEMBL317673,Ki,,nM,
CHEMBL443498,IC50,24.0,nM,
CHEMBL443498,Ki,130.0,nM,
CHEMBL104796,Ki,,nM,
CHEMBL281243,Ki,1584.89,nM,
CHEMBL319433,IC50,68.0,nM,
CHEMBL319433,Ki,2600.0,nM,
CHEMBL31065,Ki,1258.93,nM,
CHEMBL318392,IC50,35.0,nM,
CHEMBL318392,Ki,620.0,nM,
CHEMBL432009,IC50,59.0,nM,
CHEMBL432009,Ki,,nM,
CHEMBL24781,Ki,1995.26,nM,
CHEMBL320416,IC50,4.0,nM,
CHEMBL320416,Ki,40.0,nM,
CHEMBL318530,Ki,,nM,
CHEMBL49429,IC50,150.0,nM,
CHEMBL49429,Ki,,nM,
CHEMBL319418,Ki,,nM,
CHEMBL430841,IC50,24.0,nM,
CHEMBL430841,Ki,23.0,nM,
CHEMBL283894,Ki,1584.89,nM,
CHEMBL32404,Ki,3981.07,nM,
CHEMBL106229,IC50,250.0,nM,
CHEMBL106229,Ki,890.0,nM,
CHEMBL24781,Ki,3200.0,nM,
CHEMBL143304,Ki,36000.0,nM,
CHEMBL296908,Ki,52000.0,nM,
CHEMBL344752,Ki,22000.0,nM,
CHEMBL142324,Ki,38000.0,nM,
CHEMBL143341,Ki,62000.0,nM,
CHEMBL358793,Ki,12000.0,nM,
CHEMBL24781,Ki,3200.0,nM,
CHEMBL24526,Ki,740.0,nM,
CHEMBL131566,IC50,180.0,nM,
CHEMBL131566,IC50,,nM,
CHEMBL128688,IC50,140.0,nM,
CHEMBL128688,IC50,2010.0,nM,
CHEMBL336825,IC50,1140.0,nM,
CHEMBL336825,IC50,1760.0,nM,
CHEMBL334363,IC50,160.0,nM,
