molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL420762,Ki,9.42,nM,
CHEMBL139415,IC50,22.0,nM,
CHEMBL137500,IC50,31.0,nM,
CHEMBL343945,IC50,5.0,nM,
CHEMBL136065,IC50,120.0,nM,
CHEMBL136177,IC50,18.0,nM,
CHEMBL134525,IC50,34.0,nM,
CHEMBL335040,IC50,210.0,nM,
CHEMBL342250,IC50,7.5,nM,
CHEMBL340893,IC50,9.0,nM,
CHEMBL335592,IC50,13.0,nM,
CHEMBL136644,IC50,5.9,nM,
CHEMBL136628,IC50,16.0,nM,
CHEMBL136682,IC50,,nM,
CHEMBL342251,IC50,320.0,nM,
CHEMBL344848,IC50,180.0,nM,
CHEMBL139863,IC50,8.8,nM,
CHEMBL434654,IC50,0.95,nM,
CHEMBL334688,IC50,19.0,nM,
CHEMBL334376,IC50,4.1,nM,
CHEMBL343935,IC50,18.0,nM,
CHEMBL343538,IC50,1000.0,nM,
CHEMBL136109,IC50,13.0,nM,
CHEMBL136790,IC50,51.0,nM,
CHEMBL337098,IC50,35.0,nM,
CHEMBL344159,Ki,0.43,nM,
CHEMBL351970,IC50,,nM,
CHEMBL350973,IC50,1.7,nM,
CHEMBL418890,IC50,3.2,nM,
CHEMBL159823,IC50,,nM,
CHEMBL159359,IC50,2.7,nM,
CHEMBL351587,IC50,220.0,nM,
CHEMBL162910,IC50,,nM,
CHEMBL162748,IC50,,nM,
CHEMBL160029,IC50,,nM,
CHEMBL350089,IC50,3.4,nM,
CHEMBL349506,IC50,150.0,nM,
CHEMBL350090,IC50,71.0,nM,
CHEMBL159831,IC50,,nM,
CHEMBL159856,IC50,,nM,
CHEMBL350383,IC50,130.0,nM,
CHEMBL49429,IC50,1.2,nM,
CHEMBL347020,IC50,,nM,
CHEMBL162588,IC50,140.0,nM,
CHEMBL321561,IC50,30.0,nM,
CHEMBL321561,Ki,,nM,
CHEMBL105961,IC50,10.0,nM,
CHEMBL105961,Ki,32.0,nM,
CHEMBL317673,IC50,6.0,nM,
CHEMBL317673,Ki,,nM,
CHEMBL443498,IC50,4.0,nM,
CHEMBL443498,Ki,9.0,nM,
CHEMBL104796,IC50,4.0,nM,
CHEMBL104796,Ki,,nM,
CHEMBL319433,IC50,26.0,nM,
CHEMBL319433,Ki,180.0,nM,
CHEMBL318392,IC50,13.0,nM,
CHEMBL318392,Ki,520.0,nM,
CHEMBL432009,IC50,72.0,nM,
CHEMBL432009,Ki,,nM,
CHEMBL320416,IC50,7.0,nM,
CHEMBL320416,Ki,9.0,nM,
CHEMBL318530,IC50,19.0,nM,
CHEMBL318530,Ki,,nM,
CHEMBL49429,IC50,5.0,nM,
CHEMBL49429,Ki,90.0,nM,
CHEMBL319418,IC50,15.0,nM,
CHEMBL319418,Ki,30.0,nM,
CHEMBL430841,IC50,5.0,nM,
CHEMBL430841,Ki,13.0,nM,
CHEMBL106229,IC50,28.0,nM,
CHEMBL106229,Ki,160.0,nM,
CHEMBL24781,Ki,37000.0,nM,
CHEMBL296908,Ki,81000.0,nM,
CHEMBL24781,Ki,37000.0,nM,
CHEMBL24526,Ki,130.0,nM,
CHEMBL131566,IC50,85.0,nM,
CHEMBL131566,IC50,,nM,
CHEMBL128688,IC50,15.0,nM,
CHEMBL128688,IC50,30.0,nM,
CHEMBL336825,IC50,8.0,nM,
CHEMBL336825,IC50,30.0,nM,
CHEMBL334363,IC50,100.0,nM,
CHEMBL334363,IC50,,nM,
CHEMBL131439,IC50,12.0,nM,
CHEMBL131439,IC50,,nM,
CHEMBL341173,IC50,7.0,nM,
CHEMBL341173,IC50,36.0,nM,
CHEMBL334777,IC50,16.0,nM,
CHEMBL334777,IC50,40.0,nM,
CHEMBL131727,IC50,20.0,nM,
CHEMBL131727,IC50,,nM,
CHEMBL338901,IC50,7.0,nM,
CHEMBL338901,IC50,40.0,nM,
CHEMBL128687,IC50,430.0,nM,
CHEMBL128687,IC50,,nM,
CHEMBL337725,IC50,8.0,nM,
CHEMBL337725,IC50,100.0,nM,
CHEMBL3084974,Ki,1.0,nM,
CHEMBL262482,Ki,0.99,nM,
CHEMBL164226,IC50,14.8,nM,
CHEMBL351019,IC50,7.0,nM,
CHEMBL262482,Ki,4.9,nM,
CHEMBL554787,IC50,,nM,
CHEMBL49429,IC50,1.2,nM,
CHEMBL2371605,Ki,0.5,nM,
CHEMBL438014,Ki,1.0,nM,
CHEMBL349237,IC50,2.6,nM,
CHEMBL349141,IC50,4.0,nM,
CHEMBL165200,IC50,2.1,nM,
CHEMBL350408,IC50,14.0,nM,
CHEMBL436241,IC50,8.8,nM,
CHEMBL2371604,Ki,0.7,nM,
CHEMBL350869,IC50,2.0,nM,
CHEMBL384776,Ki,1.1,nM,
CHEMBL352150,IC50,5.2,nM,
CHEMBL164387,IC50,11.5,nM,
CHEMBL424163,IC50,7.5,nM,
CHEMBL165340,IC50,1.3,nM,
CHEMBL2369845,Ki,24.1,nM,
CHEMBL350576,IC50,8.0,nM,
CHEMBL2369834,Ki,568.0,nM,
CHEMBL166265,IC50,190.0,nM,
CHEMBL268306,Ki,245.0,nM,
CHEMBL165076,IC50,15.0,nM,
CHEMBL166261,IC50,50.0,nM,
CHEMBL166261,IC50,330.0,nM,
CHEMBL165183,IC50,210.0,nM,
CHEMBL2369842,Ki,621.0,nM,
CHEMBL2369836,Ki,1386.0,nM,
CHEMBL165554,IC50,13.0,nM,
CHEMBL349062,IC50,180.0,nM,
CHEMBL265858,Ki,750.0,nM,
CHEMBL2369831,Ki,1.5,nM,
CHEMBL165670,IC50,20.0,nM,
CHEMBL165670,IC50,70.0,nM,
CHEMBL351453,IC50,44.0,nM,
CHEMBL376685,Ki,5.0,nM,
CHEMBL2369839,Ki,50.0,nM,
CHEMBL166135,IC50,12.0,nM,
CHEMBL2369829,Ki,2.1,nM,
CHEMBL2369848,Ki,4416.0,nM,
CHEMBL375096,Ki,1125.0,nM,
CHEMBL411148,Ki,13.7,nM,
CHEMBL2369830,Ki,117.0,nM,
CHEMBL2369847,Ki,1067.0,nM,
CHEMBL2369841,Ki,36.8,nM,
CHEMBL349965,IC50,170.0,nM,
CHEMBL2369835,Ki,1090.0,nM,
CHEMBL2369840,Ki,80.0,nM,
CHEMBL350792,IC50,550.0,nM,
CHEMBL1790575,Ki,9.9,nM,
CHEMBL2369838,Ki,24.7,nM,
CHEMBL2369837,Ki,11170.0,nM,
CHEMBL49429,IC50,5.0,nM,
CHEMBL49429,IC50,91.0,nM,
CHEMBL1429,Ki,23.3,nM,
CHEMBL375324,Ki,131.0,nM,
CHEMBL424183,IC50,11.0,nM,
CHEMBL424183,IC50,70.0,nM,
CHEMBL80877,Ki,554.0,nM,
CHEMBL221436,Ki,1.2,nM,
CHEMBL2372316,Ki,1000000.0,nM,
CHEMBL2372316,Ki,2700000.0,nM,
CHEMBL2372280,Ki,500000.0,nM,
CHEMBL2372280,Ki,2400000.0,nM,
CHEMBL2372281,Ki,1500000.0,nM,
CHEMBL2372291,Ki,1100000.0,nM,
CHEMBL2372291,Ki,3600000.0,nM,
CHEMBL2372277,Ki,400000.0,nM,
CHEMBL2372277,Ki,3900000.0,nM,
CHEMBL177285,IC50,50.0,nM,
CHEMBL175182,IC50,60.0,nM,
CHEMBL177885,IC50,8.0,nM,
CHEMBL366816,IC50,10000.0,nM,
CHEMBL368353,IC50,30.0,nM,
CHEMBL177248,IC50,80.0,nM,
CHEMBL175212,IC50,20.0,nM,
CHEMBL413748,IC50,6.0,nM,
CHEMBL367323,IC50,9.0,nM,
CHEMBL435331,IC50,80.0,nM,
CHEMBL366790,IC50,80.0,nM,
CHEMBL368818,IC50,10.0,nM,
CHEMBL430083,IC50,20.0,nM,
CHEMBL176146,IC50,200.0,nM,
CHEMBL369150,IC50,10.0,nM,
CHEMBL369832,IC50,2.0,nM,
CHEMBL368354,IC50,1.0,nM,
CHEMBL440147,IC50,70.0,nM,
CHEMBL100069,IC50,1000.0,nM,
CHEMBL430676,IC50,1000.0,nM,
CHEMBL100893,IC50,180.0,nM,
CHEMBL320462,IC50,1000.0,nM,
CHEMBL103406,IC50,67.0,nM,
CHEMBL316958,IC50,274.0,nM,
CHEMBL101678,IC50,29.0,nM,
CHEMBL100402,IC50,1000.0,nM,
CHEMBL100447,IC50,159.0,nM,
CHEMBL101157,IC50,550.0,nM,
CHEMBL102311,IC50,0.2,nM,
CHEMBL317919,IC50,1000.0,nM,
CHEMBL316849,IC50,380.0,nM,
CHEMBL103196,IC50,1000.0,nM,
CHEMBL101935,IC50,390.0,nM,
CHEMBL101187,IC50,1000.0,nM,
CHEMBL86949,Ki,979.0,nM,
CHEMBL87351,Ki,2460.0,nM,
CHEMBL87455,Ki,6930.0,nM,
CHEMBL86667,Ki,1920.0,nM,
CHEMBL315251,Ki,8170.0,nM,
CHEMBL87887,Ki,2470.0,nM,
CHEMBL86936,Ki,6650.0,nM,
CHEMBL307483,Ki,1.19,nM,
CHEMBL86384,Ki,4850.0,nM,
CHEMBL89552,Ki,1780.0,nM,
CHEMBL86577,Ki,585.0,nM,
CHEMBL329209,Ki,10200.0,nM,
CHEMBL89177,Ki,11100.0,nM,
CHEMBL296908,Ki,10000.0,nM,
CHEMBL316093,Ki,8520.0,nM,
CHEMBL314908,Ki,14300.0,nM,
CHEMBL432375,Ki,4430.0,nM,
CHEMBL2112339,Ki,14400.0,nM,
CHEMBL315524,Ki,10200.0,nM,
CHEMBL419667,Ki,178.0,nM,
CHEMBL313451,Ki,8890.0,nM,
CHEMBL315232,Ki,7370.0,nM,
CHEMBL1790722,Ki,10000.0,nM,
CHEMBL1790713,Ki,10000.0,nM,
CHEMBL1790718,Ki,10000.0,nM,
CHEMBL1790717,Ki,,nM,
CHEMBL395429,Ki,3500.0,nM,
CHEMBL1790720,Ki,,nM,
CHEMBL1790719,Ki,1000.0,nM,
CHEMBL1790723,Ki,,nM,
CHEMBL1790728,Ki,10000.0,nM,
CHEMBL1790721,Ki,10000.0,nM,
CHEMBL1790712,Ki,930.0,nM,
CHEMBL1790729,Ki,10000.0,nM,
CHEMBL1790711,Ki,10000.0,nM,
CHEMBL317243,IC50,11.0,nM,
CHEMBL317243,IC50,100.0,nM,
CHEMBL421039,IC50,11.0,nM,
CHEMBL421039,IC50,170.0,nM,
CHEMBL106938,IC50,39.0,nM,
CHEMBL106938,IC50,48.0,nM,
CHEMBL326225,IC50,20.0,nM,
CHEMBL326225,IC50,105.0,nM,
CHEMBL109166,IC50,1000.0,nM,
CHEMBL109166,IC50,1000.0,nM,
CHEMBL419183,IC50,18.0,nM,
CHEMBL419183,IC50,350.0,nM,
CHEMBL432973,IC50,1000.0,nM,
CHEMBL432973,IC50,1000.0,nM,
CHEMBL104839,IC50,39.0,nM,
