molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL193,Ki,1.0,nM,
CHEMBL475534,Ki,0.25,nM,
CHEMBL539426,Ki,39.5,nM,
CHEMBL325811,Ki,6.89,nM,
CHEMBL2110303,Ki,500.0,nM,
CHEMBL104455,Ki,4.11,nM,
CHEMBL2110169,Ki,650.0,nM,
CHEMBL161165,Ki,80.0,nM,
CHEMBL2110302,Ki,30.0,nM,
CHEMBL2110170,Ki,5000.0,nM,
CHEMBL317651,Ki,20.2,nM,
CHEMBL104082,Ki,18.2,nM,
CHEMBL323782,Ki,22.9,nM,
CHEMBL2110168,Ki,250.0,nM,
CHEMBL2110298,Ki,3000.0,nM,
CHEMBL2110167,Ki,5000.0,nM,
CHEMBL107213,Ki,72.9,nM,
CHEMBL2110301,Ki,6000.0,nM,
CHEMBL159854,Ki,1.0,nM,
CHEMBL105893,Ki,91.1,nM,
CHEMBL343771,IC50,540.0,nM,
CHEMBL2114104,Ki,28.5,nM,
CHEMBL138302,IC50,390.0,nM,
CHEMBL73647,Ki,122.0,nM,
CHEMBL305903,Ki,13.9,nM,
CHEMBL75770,Ki,417.0,nM,
CHEMBL138302,IC50,260.0,nM,
CHEMBL6966,IC50,150.0,nM,
CHEMBL138302,IC50,500.0,nM,
CHEMBL72717,Ki,79.0,nM,
CHEMBL343771,IC50,480.0,nM,
CHEMBL343771,IC50,460.0,nM,
CHEMBL72620,Ki,52.0,nM,
CHEMBL74944,Ki,27.1,nM,
CHEMBL138302,IC50,270.0,nM,
CHEMBL343771,IC50,410.0,nM,
CHEMBL158853,Kd,360.0,nM,
CHEMBL345843,Kd,488.0,nM,
CHEMBL345843,Ki,505.0,nM,
CHEMBL3392285,Kd,35.0,nM,
CHEMBL88149,Kd,105.0,nM,
CHEMBL3392281,Kd,2.6,nM,
CHEMBL39925,Kd,23.0,nM,
CHEMBL475534,Kd,0.26,nM,
CHEMBL3392278,Kd,3400.0,nM,
CHEMBL2398396,Kd,12.0,nM,
CHEMBL282279,Kd,120.0,nM,
CHEMBL24491,Kd,50000.0,nM,
CHEMBL279029,Kd,1520.0,nM,
CHEMBL25763,Kd,873.0,nM,
CHEMBL23451,Kd,2700.0,nM,
CHEMBL23720,Kd,36900.0,nM,
CHEMBL280926,Kd,30.0,nM,
CHEMBL23692,Kd,5.0,nM,
CHEMBL22705,Kd,13700.0,nM,
CHEMBL193,Kd,0.4,nM,
CHEMBL283013,Kd,18.0,nM,
CHEMBL282706,Kd,18.0,nM,
CHEMBL23642,Kd,50000.0,nM,
CHEMBL282279,Kd,480.0,nM,
CHEMBL22704,Kd,45200.0,nM,
CHEMBL3392229,IC50,270.0,nM,
CHEMBL3392227,IC50,250.0,nM,
CHEMBL3392228,IC50,,nM,
CHEMBL3392230,IC50,100.0,nM,
CHEMBL247828,IC50,3500.0,nM,
CHEMBL247829,IC50,1725.0,nM,
CHEMBL493677,IC50,14900.0,nM,
CHEMBL495792,IC50,28000.0,nM,
CHEMBL522211,IC50,20000.0,nM,
CHEMBL495993,IC50,30000.0,nM,
CHEMBL482637,IC50,30000.0,nM,
CHEMBL495793,IC50,26000.0,nM,
CHEMBL564975,IC50,30000.0,nM,
CHEMBL562869,IC50,11000.0,nM,
CHEMBL550652,IC50,30000.0,nM,
CHEMBL563732,IC50,30000.0,nM,
CHEMBL559101,IC50,30000.0,nM,
CHEMBL552196,IC50,30000.0,nM,
CHEMBL561379,IC50,30000.0,nM,
CHEMBL561259,IC50,30000.0,nM,
CHEMBL564547,IC50,30000.0,nM,
CHEMBL552402,IC50,12000.0,nM,
CHEMBL561788,IC50,2000.0,nM,
CHEMBL551058,IC50,30000.0,nM,
CHEMBL559531,IC50,30000.0,nM,
CHEMBL552382,IC50,30000.0,nM,
CHEMBL564757,IC50,19000.0,nM,
CHEMBL556487,IC50,30000.0,nM,
CHEMBL557032,IC50,30000.0,nM,
CHEMBL551517,IC50,30000.0,nM,
CHEMBL552061,IC50,3000.0,nM,
CHEMBL551921,IC50,6800.0,nM,
CHEMBL555347,IC50,15000.0,nM,
CHEMBL562926,IC50,30000.0,nM,
CHEMBL550242,IC50,30000.0,nM,
