molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL92818,IC50,580.0,nM,
CHEMBL327765,IC50,10000.0,nM,
CHEMBL329105,IC50,2300.0,nM,
CHEMBL2114104,Ki,29.9,nM,
CHEMBL73647,Ki,173.0,nM,
CHEMBL305903,Ki,21.7,nM,
CHEMBL75770,Ki,254.0,nM,
CHEMBL72717,Ki,78.4,nM,
CHEMBL72620,Ki,62.5,nM,
CHEMBL74944,Ki,32.8,nM,
CHEMBL1099207,IC50,0.046,nM,
CHEMBL285868,IC50,0.05,nM,
CHEMBL35123,IC50,0.39,nM,
CHEMBL286157,IC50,0.01,nM,
CHEMBL286598,IC50,0.017,nM,
CHEMBL35368,IC50,0.045,nM,
CHEMBL37899,IC50,0.03,nM,
CHEMBL37402,IC50,0.022,nM,
CHEMBL475534,IC50,0.15,nM,
CHEMBL204616,IC50,0.033,nM,
CHEMBL267014,IC50,9000.0,nM,
CHEMBL16192,IC50,240.0,nM,
CHEMBL56427,IC50,980.0,nM,
CHEMBL53901,IC50,5500.0,nM,
CHEMBL56038,IC50,1670.0,nM,
CHEMBL441428,IC50,0.015,nM,
CHEMBL105444,IC50,0.25,nM,
CHEMBL318521,IC50,2.8,nM,
CHEMBL102907,IC50,0.0081,nM,
CHEMBL103806,IC50,0.027,nM,
CHEMBL321999,IC50,0.14,nM,
CHEMBL319033,IC50,1.5,nM,
CHEMBL317044,IC50,0.013,nM,
CHEMBL102498,IC50,2.3,nM,
CHEMBL116735,IC50,4300.0,nM,
CHEMBL116463,IC50,284.0,nM,
CHEMBL420863,IC50,1710.0,nM,
CHEMBL326263,IC50,1720.0,nM,
CHEMBL319593,IC50,10000.0,nM,
CHEMBL113956,IC50,860.0,nM,
CHEMBL115280,IC50,552.0,nM,
CHEMBL117537,IC50,2350.0,nM,
CHEMBL102826,IC50,5300.0,nM,
CHEMBL420499,IC50,4840.0,nM,
CHEMBL325516,IC50,2730.0,nM,
CHEMBL322693,IC50,10000.0,nM,
CHEMBL114484,IC50,1340.0,nM,
CHEMBL20896,IC50,2700.0,nM,
CHEMBL115652,IC50,1110.0,nM,
CHEMBL2092901,IC50,2.0,nM,
CHEMBL475534,IC50,1.0,nM,
CHEMBL329897,IC50,1.5,nM,
CHEMBL330707,IC50,14.0,nM,
CHEMBL88449,IC50,270.0,nM,
CHEMBL315125,IC50,11.0,nM,
CHEMBL89049,IC50,2.6,nM,
CHEMBL3392282,IC50,4.0,nM,
CHEMBL1907867,IC50,1500.0,nM,
CHEMBL86415,IC50,3.1,nM,
CHEMBL89174,IC50,140.0,nM,
CHEMBL89175,IC50,5.2,nM,
CHEMBL88149,IC50,710.0,nM,
CHEMBL3392280,IC50,26.0,nM,
CHEMBL89256,IC50,160.0,nM,
CHEMBL440695,IC50,17.0,nM,
CHEMBL84906,IC50,2.7,nM,
CHEMBL315839,IC50,280.0,nM,
CHEMBL87921,IC50,26.0,nM,
CHEMBL88191,IC50,100.0,nM,
CHEMBL39925,IC50,130.0,nM,
CHEMBL89260,IC50,1.7,nM,
CHEMBL261982,IC50,50.0,nM,
CHEMBL315298,IC50,17.0,nM,
CHEMBL89904,IC50,3.6,nM,
CHEMBL313446,IC50,88.0,nM,
CHEMBL193988,IC50,10000.0,nM,
CHEMBL2113086,IC50,10000.0,nM,
CHEMBL20896,IC50,2700.0,nM,
CHEMBL435886,IC50,10000.0,nM,
CHEMBL427215,IC50,8600.0,nM,
CHEMBL427215,IC50,2700.0,nM,
CHEMBL210514,Ki,145.0,nM,
CHEMBL210514,Ki,370.0,nM,
CHEMBL210514,Ki,166.0,nM,
CHEMBL534723,IC50,730.0,nM,
CHEMBL217133,IC50,30000.0,nM,
CHEMBL217347,IC50,30000.0,nM,
CHEMBL216281,IC50,20000.0,nM,
CHEMBL2069499,IC50,128.0,nM,
CHEMBL2069500,IC50,308.0,nM,
CHEMBL2069501,IC50,1526.0,nM,
CHEMBL2069502,IC50,1900.0,nM,
CHEMBL2331983,IC50,5200.0,nM,
CHEMBL51149,Ki,5.4,nM,
CHEMBL51149,IC50,11.0,nM,
CHEMBL5314404,IC50,71000.0,nM,
CHEMBL633,IC50,270.0,nM,
CHEMBL629,IC50,11600.0,nM,
CHEMBL87045,IC50,30000.0,nM,
CHEMBL23,IC50,450.0,nM,
CHEMBL473,IC50,60000.0,nM,
CHEMBL54,IC50,1700.0,nM,
CHEMBL11,IC50,8300.0,nM,
CHEMBL558,IC50,100000.0,nM,
CHEMBL45816,IC50,156.0,nM,
CHEMBL193,IC50,60.0,nM,
CHEMBL475534,IC50,0.35,nM,
CHEMBL1423,IC50,162.0,nM,
CHEMBL12713,IC50,8900.0,nM,
CHEMBL633,IC50,1900.0,nM,
CHEMBL296419,IC50,1100.0,nM,
CHEMBL1008,IC50,1000.0,nM,
CHEMBL161,IC50,153800.0,nM,
CHEMBL71,IC50,3400.0,nM,
CHEMBL799,IC50,91200.0,nM,
CHEMBL1729,IC50,11800.0,nM,
CHEMBL42,IC50,3600.0,nM,
CHEMBL1421,IC50,81100.0,nM,
CHEMBL12,IC50,30500.0,nM,
CHEMBL23,IC50,760.0,nM,
